Higher Topic,Focus Area Code,Focus Area name,Content
Human Exploration and Operations,Topic H3,Life Support and Habitation Systems,"
 Life support and habitation encompasses the process technologies and equipment necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft. Functional areas of interest to this solicitation include atmosphere revitalization and particulate control, environmental monitoring and fire protection systems, crew accommodations, water recovery systems, solid waste management and thermal control. Technologies must be directed at long duration missions in microgravity, including Earth orbit and planetary transit. Requirements include operation in microgravity and compatibility with cabin atmospheres of up to 34% oxygen by volume and pressures ranging from 1 atmosphere to as low as 7.6 psi (52.4 kPa). Special emphasis is placed on developing technologies that will fill existing gaps, reduce requirements for consumables and other resources including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art. Non-venting processes may be of interest for technologies that have future applicability to planetary protection. Results of a Phase I contract should demonstrate proof of concept and feasibility of the technical approach. A resulting Phase II contract should lead to development, evaluation and delivery of prototype hardware. Specific technologies of interest to this solicitation are addressed in each subtopic."
Human Exploration and Operations,Topic H4,Extra-Vehicular Activity Technology,"
 Advanced Extra -Vehicular Activity (EVA) systems are necessary for the successful support of the International Space Station (ISS) beyond 2020 and future human space exploration missions for in-space microgravity EVA and for planetary surface exploration. Advanced EVA systems include the space suit pressure garment, airlocks, the Portable Life Support System (PLSS), Avionics and Displays, and EVA Integrated Systems. Future human space exploration missions will require innovative approaches for maximizing human productivity. Advanced EVA system must also provide the capability to perform useful tasks safely, such as assembling and servicing large in-space systems and exploring surfaces of the Moon, Mars, and small bodies. Top-level requirements for advanced EVA systems include reduction of system weight and volume, minimization of consumables usage, increased hardware reliability, durability, operating life, increased human comfort, and less restrictive work performance in the space environment. All proposed Phase I research must lead to specific Phase II experimental development that could be integrated into a functional EVA system."
Human Exploration and Operations,Topic H5,Lightweight Spacecraft Materials and Structures,"
 The SBIR topic area of Lightweight Spacecraft Materials and Structures centers on developing lightweight inflatable structures, solar array structures, and advanced manufacturing technologies for metallic materials. Applications are expected to include space exploration vehicles including launch vehicles, crewed vehicles, and surface and habitat systems, and solar electric propulsion tugs. The subtopic Expandable/Deployable Structures solicits innovative concepts to support the development of lightweight-structure technologies that would be viable solutions to high packaging efficiency, and of deployment mechanisms. Technologies are needed to minimize launch mass, volume and costs, while maintaining the required structural performance for the loads and environments. Of particular interest for expandable/inflatable systems are high-tenacity fibrous materials for the restraint layer of inflatable structures, and bladder materials with limited air permeation and good flexure properties at low temperatures. Analysis and test methods that verify the performance of highly loaded inflated structures are highly desired. For large solar arrays systems, mass-efficient solar array designs with a scalable path from 20-30 kW up to 300 kW and beyond are needed. Advanced analysis and test techniques to ensure reliable deployment of large solar array structures are of special interest. Novel design and packaging concepts, analysis techniques, and both ground and in-space test methods are sought for large deployable solar arrays as well as for individual components such as lightweight booms, ribs, or frames; flexible substrate materials; and mechanisms. The overall objective of the subtopic on Advanced Manufacturing and Material Development for Lightweight Metallic Structures is to advance technology readiness levels of lightweight metals and manufacturing techniques for launch vehicles and in-space applications resulting in structures having affordable, reliable, predictable performance with reduced costs. Proposals are sought that offer innovative manufacturing processes and/or materials to locally increase the stiffness and strength of structural elements added to NNS components. Manufacturing methods of interest include additive manufacturing methods that employ wire feedstock, fusion and friction stir welding. Of specific interest in materials are advances in aluminum wire and tape feedstock materials, including customized alloy chemistry and metal matrix composites (MMCs) incorporating either discontinuous or continuous reinforcements. Of specific interest in manufacturing and processing are proposals that address issues such as residual stress and distortion control, post-deposition processing to develop service mechanical properties, and energy source/reinforcement interactions. Research under this topic should be conducted to demonstrate technical feasibility during Phase I and show a path toward a Phase II hardware demonstration, and when possible, deliver a full-scale demonstration unit for functional and environmental testing at the completion of the Phase II contract."
Human Exploration and Operations,Topic H6,Autonomous and Robotic Systems,"
 NASA invests in the development of autonomous systems, advanced avionics, and robotics technology capabilities for the purpose of enabling complex missions and technology demonstrations supporting the Human Exploration and Operations Mission Directorate (HEOMD). The software, avionics, and robotics elements requested within this topic are critical to enhancing human spaceflight system functionality. These elements increase autonomy and system reliability; reduce system vulnerability to extreme radiation and thermal environments; and support human exploration missions with robotic assistants, precursors and caretaker robots. As key and enabling technology areas, autonomous systems, avionics and robotics are applicable to broad areas of technology use, including heavy lift launch vehicle technologies, robotic precursor platforms, utilization of the International Space Station, and spacecraft technology demonstrations performed to enable long duration space missions. All of these flight applications will require unique advances in software, robotic technologies and avionics. The exploration of space requires the best of the nation's technical community to provide the technologies, engineering, and systems to enable human exploration beyond LEO, to visit asteroids and the Moon, and to extend our reach to Mars."
Human Exploration and Operations,Topic H7,"Entry, Descent and Landing Technology","
 The Thermal Protection System (TPS) protects a spacecraft from the severe heating encountered during hypersonic flight through a planetary atmosphere. In general, there are two classes of TPS - reusable and ablative. Typically, reusable TPS applications are limited to relatively mild entry environments like that of Space Shuttle. No change in the mass or properties of the TPS material results from entry with a significant amount of energy being re-radiated from the heated surface and the remainder conducted into the TPS material. Typically, a surface coating with high emissivity (to maximize the amount of energy re-radiated) and with low surface catalycity (to minimize convective heating by suppressing surface recombination of dissociated boundary layer species) is employed. The primary insulation has low thermal conductivity to minimize the mass of material required to insulate the primary structure. Ablative TPS materials, in contrast, accommodate high heating rates and heat loads through phase change and mass loss. All NASA planetary entry probes to date have used ablative TPS. Most ablative TPS materials are reinforced composites employing organic resins as binders. When heated, the resin pyrolyzes producing gaseous products that are heated as they percolate toward the surface thus transferring some energy from the solid to the gas. Additionally, the injection of the pyrolysis gases into the boundary layer alters the boundary layer properties resulting in reduced convective heating. However, the gases may undergo chemical reactions with the boundary layer gases that could return heat to the surface. Furthermore, chemical reactions between the surface material and boundary layer species can result in consumption of the surface material leading to surface recession. Those reactions can be endothermic (vaporization, sublimation) or exothermic (oxidation) and will have an important impact on net energy to the surface. Clearly, in comparison to reusable TPS materials, the interaction of ablative TPS materials with the surrounding gas environment is much more complex as there are many more mechanisms to accommodate the entry heating. NASA has successfully tackled the complexity of thermal protection systems for numerous missions to inner and outer planets in our solar system in the past; the knowledge gained has been invaluable but incomplete. Future missions will be more demanding. Better performing ablative TPS than currently available is needed to satisfy requirements of the most severe missions, e.g., Near Earth Object Earth Return with velocities exceeding 11.5 km/s and Heavy Mass Mars Landing with 8 km/s entry. In addition, new low ballistic coefficient deployable systems may require flexible ablative TPS materials that can protect systems experiencing heat fluxes ranging from 30 W/cm2 to 300 W/cm2, depending on their missions. Beyond the improvement needed in ablative TPS materials, more demanding future missions such as large payload missions to Mars will require novel entry system designs that consider different vehicle shapes, deployable or inflatable configurations and integrated approaches of TPS materials with the entry system sub-structure."
Human Exploration and Operations,Topic H8,High Efficiency Space Power Systems,"
 This topic solicits technology development for high-efficiency power systems to be used for the human exploration of space. Power system needs include: 
   Batteries for extravehicular activity suits. 
 Electrical power for in-space propulsion systems. 
 Electric power generation and energy storage for planetary and lunar surface applications. 


 H8.01 Fuel Cells and Electrolyzers:
   Ion-exchange membranes for PEM electrolyzers, emphasizing low acid generation to meet a critical ISS need and low permeability to increase the efficiency of high pressure systems for surface systems. 
 Solid oxide fuel cell technology to spark the next-generation of fuel cell technology that will enable operation with multiple fuels including methane for landers and hydrocarbons generated from ISRU processes. 


 H8.02 Ultra High Specific Energy Batteries:
   Cathodes compatible with silicon-composite anodes to address the key obstacle to current lithium ion battery development for extravehicular actitivies. 
 High-risk battery chemistries offering performance well beyond Li-ion. 



 H8.03 Space Nuclear Power Systems:
   10 kWe-class power conversion devices and 450K radiators to support the Technology Demonstration Unit for surface power and 100kW-class electric vehicles. 
 100 kWe-class power conversion devices, > 500K radiators, and high temperature fuels, materials, and heat transport to support fission power systems for MW-class electric vehicles. 
 1 kW-class fission power systems concepts to support science missions and small-scale surface power systems.


 H8.04 Advanced Photovoltaic Systems:
   Solar cell, blanket, and interconnect technologies consistent with the needs of solar electric propulsion systems: 
 Flexible blankets. 
 High voltage and high power operation. 
 Low cost, high volume fabrication techniques. 
 Modular panel concepts that emphasize low mass and cost reduction."
Human Exploration and Operations,Topic H9,Space Communications and Navigation,"
 The Space Communication and Navigation Technology Area supports all NASA space missions with the development of new capabilities and services that make our missions possible. Communication links are the lifelines to our spacecraft that provide the command, telemetry, and science data transfers as well as navigation support. Advancement in communication and navigation technology will allow future missions to implement new and more capable science instruments, greatly enhance human missions beyond Earth orbit, and enable entirely new mission concepts. NASA's communication and navigation capability is based on the premise that communications shall enable and not constrain missions. Today our communication and navigation capabilities, using Radio Frequency technology, can support our spacecraft to the fringes of the solar system and beyond. As we move into the future, we are challenged to increase current data rates- 300 Mbps in LEO to about 6 Mbps at Mars- to support the anticipated numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, cognitive networks, access links, reprogrammable communications systems, advanced antenna technology, transmit array concepts, and communications in support of launch services are very important to the future of exploration and science activities of the Agency. Additionally, innovative, relevant research in the areas of positioning, navigation, and timing (PNT) are desirable. NASA's Space Communication and Navigation (SCaN) Office considers the three elements of PNT to represent distinct, constituent capabilities: 
   Positioning, by which we mean accurate and precise determination of an asset's location and orientation referenced to a coordinate system. 
 Navigation, by which we mean determining an asset's current and/or desired absolute or relative position and velocity state, and applying corrections to course, orientation, and velocity to attain achieve the desired state. 
 Timing, by which we mean an assets acquiring from a standard, maintaining within user-defined parameters, and transferring where required, an accurate and precise representation of time, minimize the impact of latency on overall system performance. 


 This year, the following technology areas are being solicited to meet increasing data throughput and accuracy needs: Optical communications, RF communications, experiments involving reprogrammable communications systems, flight dynamics and breakthrough or high impact communication technologies. Emphasis is placed on size, weight and power improvements. Innovative solutions centered on operational issues are needed in all of the aforementioned areas. All technologies developed under this topic area to be aligned with the Architecture Definition Document and technical direction as established by the NASA SCaN Office. For more details, see (http://ti.arc.nasa.gov/tech/asr/intelligent-robotics/haughton-field/)."
Human Exploration and Operations,Topic H10,Ground Processing and ISS Utilization,"
 The Human Exploration and Operations Mission Directorate (HEOMD) provides mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: assembling and operating the International Space Station; ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of our Nation's astronauts. Activities include ground-based and in-flight processing and operations tasks, along with support that ensures these tasks are accomplished efficiently and accurately, enables successful missions and healthy crews. This topic area, while largely focused on operational space flight activities, is broad in scope. NASA is seeking technologies that address how to improve and lower costs related to ground and flight assets, and maximize the utilization of the International Space Station. A typical flight focused approach would include: 
   Phase I - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration. Bench or lab-level demonstrations are desirable. 
 Phase II - Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. 


 The proposal shall outline a path showing how the technology could be developed into space-worthy systems. For ground processing and operations tasks, the proposal shall outline a path showing how the technology could be developed into ground or flight systems. The contract shall deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract and, if possible, demonstrate earth based uses or benefits."
Human Exploration and Operations,Topic H11,Radiation Protection,"
 The SBIR topic area of Radiation Protection focuses on the development and testing of mitigation concepts to protect astronaut crews and exploration vehicles from the harmful effects of space radiation, both in Low Earth Orbit (LEO) and while conducting long-duration missions beyond LEO. Advances are needed in mitigation schema for the next generation of exploration vehicles inclusive of radiation shielding materials and structures technologies to protect humans from the hazards of space radiation during NASA missions. As NASA continues to form plans for long duration exploration, it has also become increasingly clear that the ability to mitigate the risks posed to both crews and vehicle systems by the space weather environment are also of central importance. This Radiation Protection Topic will concentrate on the Alert and Warning Systems. This area of interest is ways in which SBIR-developed technologies can contribute to NASA's overall mission requirements are advances in the understanding and predictability of space weather science. Current operational space weather support utilizes both inter- and extra-agency assets to maintain situational awareness and mitigate radiation risks associated with agency missions. Operational space weather support consists in the most basic terms of maintaining situational awareness of both the state of the Sun as a physical system and the radiation environment and its dynamics within the Heliosphere, and altering in real-time, a mission in order to minimize their effects. Therefore, advances are needed in the development of scientific research products for real-time operational forecasting tools to mitigate mission risk. Research under this topic should be conducted to demonstrate technical feasibility during Phase I and show a path forward to Phase II hardware demonstration, and when possible, deliver a full-scale demonstration unit for functional and environmental testing at the completion of the Phase II contract."
Human Exploration and Operations,Topic H12,Human Research and Health Maintenance,"
 NASA's Human Research Program (HRP) investigates and mitigates the highest risks to astronaut health and performance in exploration missions. The goal of the HRP is to provide human health and performance countermeasures, knowledge, technologies, and tools to enable safe, reliable, and productive human space exploration, and to ensure safe and productive human spaceflight. The scope of these goals includes both the successful completion of exploration missions and the preservation of astronaut health over the life of the astronaut. HRP developed an Integrated Research Plan (IRP) to describe the requirements and notional approach to understanding and reducing the human health and performance risks. The IRP describes the Program's research activities that are intended to address the needs of human space exploration and serve HRP customers. The IRP illustrates the program's research plan through the timescale of early lunar missions of extended duration. The Human Research Roadmap (http://humanresearchroadmap.nasa.gov) is a web-based version of the IRP that allows users to search HRP risks, gaps, and tasks. The HRP is organized into Program Elements: 
   Human Health Countermeasures. 
 Behavioral Health & Performance. 
 Exploration Medical Capability. 
 Space Human Factors and Habitability. 
 Space Radiation and ISS Medical Projects. 


 Each of the HRP Elements address a subset of the risks, with ISS Medical Projects responsible for the implementation of the research on various space and ground analog platforms. The overview and responsibilities of each of the Elements is described within the Human Research Roadmap (referenced above). With the exception of Space Radiation, the SBIR subtopics in this solicitation align with the HRP Program Elements: 
   H12.01 Exploration Countermeasure Capability - Portable Activity Monitoring System helps address Human Health Countermeasures musculoskeletal risks. 
 H12.02 Exploration Medical Capability - Medical Suction Capability addresses a specific Exploration Medical Capability technology gap. 
 H12.03 Behavioral Health and Performance - Innovative Technologies for A Virtual Social Support System for Autonomous Exploration Missions helps address Behavioral Health and Space Human Factors and Habitability risks. 
 H12.04 Advanced Food Systems Technology helps address the Space Human Factors and Habitability food system risks. 
 H12.05 In-Flight Biological Sample Analysis helps address an ISS Medical Project technology need to allow on-orbit biological sample analysis, limiting the need for biological sample return."
