Higher Topic,Focus Area Code,Focus Area name,Content
Science,Topic S3,Spacecraft and Platform Subsystems,"
 The Science Mission Directorate will carry out the scientific exploration of our Earth, the planets, moons, comets, and asteroids of our Solar System and beyond. SMD's future direction will be moving from exploratory missions (orbiters and flybys) into more detailed/specific exploration missions that are at or near the surface of where we want to explore (landers, rovers, and sample returns), that would require new vantage points, or that would need to integrate or distribute capabilities across multiple assets. Future destinations will be more challenging to get to, have more extreme environmental conditions and challenges once you get there, and may be a challenge to get a spacecraft or data back from. A major objective of the NASA science spacecraft systems development programs is to enable science measurement capabilities using smaller and lower cost spacecraft to meet multiple mission requirements thus making the best use of our limited resources. To accomplish this objective, NASA is seeking innovations to significantly improve subsystem capabilities while reducing the mass and cost, that would in turn enable increased scientific return for future NASA missions. Innovations are sought in the areas of: Command, Data Handling, and Electronics; Thermal Control Systems; Power Generation and Conversion; Propulsion Systems; Power Management and Storage; Guidance, Navigation and Control; Sensor and Platform Data Processing & Control; Planetary Ascent Vehicles; Unmanned Aerial Vehicles and Terrestrial Balloons."
Science,Topic S4,Low-Cost Small Spacecraft and Technologies,"
 This subtopic is targeted at the development of technologies and systems, which can enable the realization of small spacecraft science and exploration missions. While small spacecraft have the benefit of reduced launch costs by virtue of their lower mass, they may be currently limited in performance and their capacity to provide on-orbit resources to payload and instrument systems. With the incorporation of smaller bus technologies, launch costs, as well as total life cycle costs, can continue to be reduced, while still achieving and expanding NASA's mission objectives. 

 The Low-Cost Small Spacecraft and Technologies category is focused on the identification and development of specific key spacecraft technologies in the areas of avionics, attitude determination and control, and spacecraft integration planning and management. The primary thrust of this topic is directed at reducing the footprint and resources that these bus subsystems require (power, mass, and volume), allowing more of these critical resources to be shifted to payload and instrument systems, and to further reduce the overall launch mass and volume requirements for small spacecraft. 

 Proposals should show an understanding of one or more relevant science needs, and present a feasible plan to fully develop a technology and infuse it into a NASA program. 

 Research should be conducted to demonstrate technical feasibility during Phase 1 and show a path toward a Phase 2 hardware and/or software demonstration, and when possible, deliver a demonstration unit or software package for NASA testing at the completion of the Phase 2 contract."
Science,Topic S5,Robotic Exploration Technologies,"
 NASA is pursuing technologies to enable robotic exploration of the Solar System including its planets, their moons, and small bodies. NASA has a development program that includes technologies for the atmospheric entry, descent, and landing, mobility systems, extreme environments technology, sample acquisition and preparation for in situ experiments, and in situ planetary science instruments. Robotic exploration missions that are planned include a Europa Jupiter System mission, Titan Saturn System mission, Venus In Situ Explorer, sample return from Comet or Asteroid and lunar south polar basin and continued Mars exploration missions launching every 26 months including a network lander mission, an Astrobiology Field Laboratory, a Mars Sample Return mission and other rover missions. Numerous new technologies will be required to enable such ambitious missions. The solicitation for in situ planetary instruments can be found in the in situ instruments section of this solicitation. See URL: http://solarsystem.nasa.gov/missions/index.cfm for mission information. See URL: http://marstech.jpl.nasa.gov/ for additional information on Mars Exploration technologies.
"
Science,Topic S6,Information Technologies,"
 NASA Missions and Programs create a wealth of science data and information that are essential to understanding our earth, our solar system and the universe. Advancements in information technology will allow many people within and beyond the Agency to more effectively analyze and apply this data to create knowledge. In particular, modeling and simulation are being used more pervasively throughout NASA, for both engineering and science pursuits, than ever before. These are tools that allow high fidelity simulations of systems in environments that are difficult or impossible to create on Earth, allow removal of humans from experiments in dangerous situations, and provide visualizations of datasets that are extremely large and complicated. In many of these situations, assimilation of real data into a highly sophisticated physics model is needed. Information technology is also being used to allow better access to science data, more effective and robust tools for analyzing and manipulating data, and better methods for collaboration between scientists or other interested parties. The desired end result is to see that NASA science information be used to generate the maximum possible impact to the nation: to advance scientific knowledge and technological capabilities, to inspire and motivate the nation's students and teachers, and to engage and educate the public."
Exploration Systems,Topic X1,Avionics and Software,"
 The Exploration Technology Development Program (ETDP) leads the Agency in the development of advanced avionics, software and information technology capabilities and research for the Exploration Systems Mission Directorate. The Avionics and Software elements perform mission-driven research and development to enable new system functionality, reduce risk, and enhance the capability for NASA's exploration missions. NASA's focus has clarified around Exploration, and the agency's expertise and capabilities are being called upon to support these missions. The Ares Launch Vehicle, the Orion Crew Exploration Vehicle (CEV), the Altair Lunar Lander, and future lunar surface systems will each require unique advances in avionic and software technologies such as integrated systems health management, autonomous systems for the crew and mission operations, radiation hardened processing, and reliable, dependable software. Exploration requires the best of the nation's technical community to step up to providing the technologies, engineering, and systems to regain the frontiers of the Moon, to extend our reach to Mars, and to explore the beyond."
Exploration Systems,Topic X2,Environmental Control and Life Support,"
 Environmental Control and Life Support (ECLS) encompasses the process technologies and equipment necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft and to support associated human systems such as Extra Vehicular Activity (EVA). Functional areas of interest to this Solicitation include thermal control and ventilation, atmosphere resource management and particulate control, water recovery systems, solid waste management, habitation systems, environmental monitoring and fire protection systems. Technologies must be directed at Lunar transit and surface missions, including such vehicles as Lunar landers, surface habitats and pressurized rovers. 

 Requirements include operation in Lunar gravity and/or microgravity and compatibility with cabin atmospheres of up to 34% O2 by volume and pressures ranging from 1 atmosphere to as low as 7.6 psia, or for EVA, as low as 3.2 psia and 100% O2. Systems external to the spacecraft will be at vacuum. Special emphasis is placed on developing technologies that will fill existing gaps, reduce requirements for consumables and other resources including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art. Non-venting processes may be of interest for technologies that have dual application to Lunar and Mars missions. Results of a Phase 1 contract should show feasibility of the technology and approach. A resulting Phase 2 contract should lead to development, evaluation and delivery of prototype hardware. Specific technologies of interest to this Solicitation are addressed in each subtopic. 

 Additional information may be found at the following websites: http://els.jsc.nasa.gov and http://aemc.jpl.nasa.gov."
Exploration Systems,Topic X3,Lunar In-Situ Resource Utilization,"
 The purpose of In Situ Resource Utilization (ISRU) is to harness and utilize resources at the site of exploration to create products and services which can enable and significantly reduce the mass, cost, and risk of near-term and long-term space exploration. In particular, the ability to make propellants, life support consumables, fuel cell reagents, and radiation shielding can significantly reduce the cost, mass, and risk of sustained human activities beyond Earth. To perform these tasks on the lunar surface, detailed knowledge of the terrain, local minerals and potential resources, and the behavior and characteristics of lunar regolith is extremely important. Lastly, since ISRU systems and operations have never been demonstrated before in missions, it is important that ISRU concepts and technologies be evaluated under relevant conditions (1/6 g and vacuum) as well as anchored through modeling to lunar soil and environmental conditions. With this in mind, the ISRU Project within the Exploration Technology Development Program (ETDP) has initiated development and testing of hardware and systems in two main focus areas: (1) Oxygen Extraction from Regolith, including regolith feed/removal; and (2) ISRU Development & Precursor Activities to evaluate alternative resource processing and product concepts. 

 The purpose of the following subtopics is to develop and demonstrate hardware and software technologies that can be added to on-going analysis and ISRU capability development and demonstration activities in ETDP to meet Outpost architecture and surface manipulation objectives for near and long term human exploration of the Moon."
Exploration Systems,Topic X4,"Structures, Materials and Mechanisms","
 The SBIR topic area of Structures, Materials and Mechanisms centers on developing lightweight structures, advanced materials technologies, and low-temperature mechanisms for enabling Exploration Vehicles and Lunar Surface Systems. 

 Lightweight structures and advanced materials have been identified as a critical need since the reduction of structural mass translates directly to additional up and down mass capability that would facilitate additional logistics capacity and increased science return for all mission phases. The major technology drivers of the lightweight structure technology development are to significantly enhance structural systems by 1) lowering mass and/or improving efficient volume for reduced launch costs, 2) improving performance to reduce risk and extend life, and 3) improving manufacturing and processing to reduce costs. The targeted applications of the lightweight structures and materials technologies are Orion Crew Module, the Ares launch vehicles, Lunar Lander, and Lunar Surface Systems. For this Solicitation, the desired area of focus is Lunar Surface Systems, particularly for Lunar habitats. 

 Low-temperature mechanism technology is being developed for reliable and efficient operation of mechanisms in lunar temperatures including operations in lunar shadows at -230°C and sustained surface operations thru varying lunar temperatures of -230°C to +120°C for lunar surface rovers, robotics, and mechanized operations. The technology drivers of the low temperature mechanism technology development are to significantly enhance operation of mechanized parts by 1) lowering the operating temperature for life of the component and 2) improving mechanism performance (torque output, actuation performance, lubrication state) at the lunar environment conditions of cold and vacuum over the required life of the mechanism. The targeted application of the technology is to provide for operation of motors and drive systems, lubricated mechanisms, and actuators of lunar rovers and mobility systems, ISRU machinery, robotic systems mechanisms, and surface operations machinery (i.e., cranes, deployment systems, airlocks) for lunar surface operations. 

 This topic area is to enhance and fill gaps in technology development programs in the Exploration Technology Exploration Program's Structures, Materials, and Mechanisms (SMM) Project. Areas of development included in the SMM project include: low temperature drive system, motor, and gearbox system, personal kit radiation shielding materials, low density parachute material systems, expandable structural systems, and friction stir welded spun-domes. This topic area is responsible for mid-level technology research, development, and testing through experimental and/or analytical validation."
Exploration Systems,Topic X5,Advanced Composite Technology,"
 The SBIR Topic area of Advanced Composites Technologies (ACT) focuses on technologies to mature the use of composite structures and materials for launch vehicles and/or the lunar lander. 

 Organic matrix composite materials have the potential for a significant mass reduction compared to metallic materials by optimizing the structural architecture of applications including the Ares V Core Stage intertank, the Ares V Core-Stage-to-Earth-Departure-Stage interstage, the Ares V Payload Shroud, and the Altair lunar lander support struts. The major technology drivers for these applications of advanced composites technologies include large scale composites manufacturing, composite damage tolerance and detection, and primary structure durability in a lunar environment. Successful composites technologies will demonstrate concepts with reduced weight and cost with no loss in performance when compared to technologies for metallic concepts. 

 This Topic is to enhance and fill gaps in technology development activities in the Exploration Technology Development Program Advanced Composites Technologies Project. Areas of development in the ACT project include: materials; manufacturing; nondestructive evaluation/structural health monitoring; and structural concepts. This Topic is responsible for mid-level technology research, development, and testing through experimental and/or analytical validation."
Exploration Systems,Topic X6,Lunar Operations,"
 This call for technology development is in direct support of the Exploration Systems Mission Directorate's (ESMD) Exploration Technology Development Program (ETDP). The purpose of this research is to develop component and subsystem level technologies to support the Constellation Program's (CxP) human lunar return missions. The initial missions will be heavily engaged in construction methods, regolith excavation, establishing self-sustaining power generation, and producing life support consumables in-situ in order to establish continuous operational capability via earth based and lunar based human and robotic assets. 

 The objective is to produce new technology that will reduce lunar operations workloads associated with crew extra-vehicular activities (EVA) and intra-vehicular activities (IVA), and reduce the total mass-volume-power of equipment and materials required to support both short and long duration Lunar stays as well as maximizing crew and outpost safety during landing, launch and lunar operations. The proposals must focus on component and subsystem level technologies in order to maximize the return from current SBIR funding levels. Doing so increases the likelihood of successfully producing a technology that can be readily infused into the Constellation Program. 

 Lunar operations are a stepping-stone toward achieving long-term space exploration goals. This research focuses on technology development for the critical functions that will secure an extended human presence on the lunar surface and ultimately enable surface exploration for the advancement of scientific research. Surface exploration begins with short duration missions to establish a foundation which leads to extensible functional capabilities. Successive buildup missions establish a continuous operational platform from which to conduct scientific research while on the lunar surface. Reducing risk and ensuring mission success depends on the coordinated interaction of many functional surface systems including life support, power, communications infrastructure, and transportation. This topic addresses technology needs associated with lunar surface systems infrastructure, interaction of humans and machines, mobility systems, payload and resource handling, regolith excavation and mitigation of environmental contaminations. For more information, see the following websites:

http://www.nasa.gov/exploration/home/LER.html
http://www.nasa.gov/multimedia/podcasting/Haughton_Mars_project.html 
http://robonaut.jsc.nasa.gov/index.asp
http://www.nasa.gov/centers/ames/multimedia/images/2008/K_10_38.html
http://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4001.pdf(link is external)
http://www.nasa.gov/home/hqnews/2008/jun/HQ_08149_Moses_Lake.html"
Exploration Systems,Topic X7,Energy Generation and Storage,"
 This topic includes technology development for batteries, fuel cells, regenerative fuel cells, and fission and isotopic power systems for the Altair lunar lander and surface operations on the Moon and Mars. Technologies developed must be infused into these Constellation program elements: primary fuel cells for the Altair lunar lander descent stage, secondary batteries for the Altair ascent stage, secondary batteries for extravehicular activities (EVA) suits, and regenerative fuel cells, fission and isotopic power systems on the Moon and Mars to power habitats, in situ resource production, and mobility systems. Specific technology goals and component needs are given in the sub-topics. General mission priorities for energy storage and generation include: 

   EVA suits require secondary batteries sufficient to power all portable life support, communications, and electronics for an 8-hour mission with minimal volume. Battery operation required for six months and 100 recharge cycles with a shelf life of at least two years. Mission priorities include human-safe operation; 8-hr duration; high specific energy; and high energy-density. 
 Secondary batteries for the Altair ascent stage require nominally 10 recharge cycles with 1.7 kW nominal power and 2 kW peak power, operating for 7 hours continuously. Mission priorities include human-safe, reliable operation and high energy-density in a 0 - 30°C and 0 - 1/6 gravity environment. 
 The Altair descent stage requires a fuel cell with a nominal power level of 3 kW with 5.5 kW peak, operating for 220 hours continuously. Mission priorities include human-safe reliable operation; the ability to scavenge available fuel; and high energy-density. 
 Regenerative fuel cells, which combine a fuel cell with a water electrolyzer, have been baselined for lunar surface system operations. Mission priorities include reliable, long-duration maintenance-free operation; human-safe operation; high specific-energy; and high system efficiency in a 0 - 100°C, 1/6 gravity environment. 
 Architecture studies have identified nuclear power technology to effectively satisfy high power requirements for extended duration lunar surface missions. Nuclear power generation is especially attractive for missions with significant solar eclipse periods, including non-polar locations and inside lunar craters, as well as Mars outposts. 
 Power systems for lunar rovers require human-safe operation; reliable, maintenance-free operation; and high specific-energy."
