Higher Topic,Focus Area Code,Focus Area name,Content
Science,Topic S4,Low-Cost Small Spacecraft and Technologies,"The Low-Cost Small Spacecraft and Technologies Topic focuses on the technologies, subsystems, methodologies, and mission concepts for space missions which lower the over-all cost for scientific exploration. The ""Small"" of spacecraft and missions refer to small spacecraft that have ""wet"" masses below 500 Kg. (micro satellites 10-100kg, nano satellite 1-10kg, pico satellite <1kg), are substantially less expensive, and will require different approaches to solve traditional problems in development, operations and capability. The goal of these low-cost missions is not to replace the major missions, but rather to reduce the risks to, as well as the costs of, future major missions. Low-Cost Small Spacecraft and Technologies Missions will be used as test beds for new technologies, provide flight ""heritage"" for new instruments and components. Increasing the number of flight opportunities per year enables missions to be designed and flown during typical graduate and post-doctoral tenures, provide training for a new generation of scientists and engineers. These small spacecraft missions can also accomplish specific scientific investigations that would be too narrow for a major mission but still scientifically important. This topic is divided into two categories of subtopics: Small Spacecraft Technologies and Enablers and Small Spacecraft Build. Small Spacecraft Technologies and Enablers subtopics will lower the barrier to entry for small spacecraft missions by encouraging launch opportunities and creating open design and spacecraft management tools. These subtopics include nanosat launch vehicles and technologies, secondary and tertiary launch technologies, low-cost, rapid spacecraft design and multi-subsystem functionality, and project management, systems engineering and mission assurance tools. The Small Spacecraft Build subtopics, when used together, could create a small spacecraft mission. These subtopics include smart, autonomous command and data handling system, algorithms and data management, advanced avionics, mini-micro thrusters, LOX/hydrocarbon propulsion, and attitude control systems, low-cost assembly, integration, and testing, autonomous multi-mission virtual ground and spacecraft operations. The spacecraft is a modular spacecraft that operate using standard protocols (high speed: Ethernet, SpacewireTM; low speed: RS-422, I2C) and operate at 28V +/- 6V. With this modularity a requirement for the Low-Cost Small Spacecraft and Technologies, components can be interchanged from a basic spacecraft design to tailor for specific missions. NASA intends to determine a mission concept that will be announced at a Mission Concept Review (MCR) provisionally in December 2007. NASA intends to award SBIR Phase 1 contracts in October 2007. After the December 2007 MCR, the awardees will be invited to a Preliminary Design Review (PDR) in June 2008. NASA understands that this is a best effort, by the SBIR awardees and NASA alike. The Phase 2 awards will be formally announced in October 2008, and the Phase 2 recipients will be invited to attend a Systems Review in November 2008 and a Critical Design Review (CDR) in March 2009. By January 2010, the Phase 2 SBIR teams are encouraged to deliver to NASA the hardware to be integrated and ready for launch in July 2010. The Low-Cost Small Spacecraft and Technologies topic is envisioned to launch one satellite per year starting in 2010, kicking off a new team each year. NASA cannot direct SBIR awardees to conform to the provisional schedule outlined above, however when brought together this could create the opportunity for a spacecraft build. This topic will give significant priority to offerors that take full advantage of standard interfaces, protocols, methodologies, open source software and Commercial Of the Shelf (COTS)-derivative hardware."
Science,Topic S5,Robotic Exploration Technologies,"NASA is pursuing technologies to enable robotic exploration of the Solar System including its planets, their moons, and small bodies. NASA has a development program that includes technologies for the atmospheric entry, descent, and landing, mobility systems, extreme environments technology, sample acquisition and preparation for in situ experiments, and in situ planetary science instruments. Robotic exploration missions that are planned include a Europa lander, a rover or balloon-borne experiment on Titan, a surface mission to Venus, and continued Mars exploration missions launching every 26 months including a network lander mission, an Astrobiology Field Laboratory, and other rover missions. Numerous new technologies will be required to enable such ambitious missions. The solicitation for in situ planetary instruments can be found in the in situ instruments section of this solicitation. See URL: http://solarsystem.nasa.gov/missions/index.cfm for mission information. See URL: http://marstech.jpl.nasa.gov/ for additional information on Mars Exploration technologies.  


 In 2007 the emphasis for SBIR in robotic exploration will be in the following areas: (1) Surface and subsurface robotic exploration; (2) Sample collection, processing and handling devices; (3) Planetary entry, descent and landing technology; (4) Extreme environments technology; and (5) Planetary balloons and aerobots."
Science,Topic S6,Information Technologies,"Modeling and simulation are being used more pervasively and more effectively throughout NASA, for both engineering and science pursuits, than ever before. These are tools that allow high fidelity simulations of systems in environments that are difficult or impossible to create on Earth, allow removal of humans from experiments in dangerous situations, and provide visualizations of datasets that are extremely large and complicated. Examples of past simulation successes include simulations of entry conditions for man-rated space flight vehicles, visualizations of distant planet topography via simulated fly-over and three-dimensional visualizations of coupled ocean and weather systems. In many of these situations, assimilation of real data into a highly sophisticated physics model is needed. Also use NASA missions and other activities to inspire and motivate the nation's students and teachers, to engage and educate the public, and to advance the scientific and technological capabilities of the nation."
Exploration Systems,Topic X1,Avionics and Software,"
 The Exploration Development Technology Program leads the Agency in the development of advanced software and information technology capabilities and research for Exploration Systems. They perform mission-driven research and development to enable new system functionality, reduce risk, and enhance the capability for NASA's explorations missions. NASA's focus has clarified around Exploration, and the agencies expertise and capabilities are being called upon to support these missions. The Crew Exploration Vehicle (CEV) and teams of humans and robots working in space will all require advances in integrated systems health management, autonomous systems for the crew and mission operations, radiation hardened processing, and reliable, dependable software. Exploration requires the best of the nation's technical community to step up to providing the technologies, engineering, and systems to regain the frontiers of the Moon, to extend our reach to Mars, and to explore the beyond. These advanced Avionics and Software technologies will be implemented in the CEV, Crew Launch Vehicle (CLV), and robotic missions; embedded in operations; flown on spacecraft; and used by astronauts."
Exploration Systems,Topic X2,Sensors for Autonomous Systems,"
 The Sensors for Autonomous Systems topic is defined to include sensors, sensor components or sensor systems that provide relative information between a spacecraft and another body, independent of Earth-based assets or personnel. The scope of this topic encompasses relative navigation for rendezvous, proximity operations and docking (RPOD) between a spacecraft and a target vehicle, such as the International Space Station or lunar module, and also precision landing and hazard detection for landing on a lunar or planetary surface. Technology development is needed to create robust sensor capabilities that work within the required environments and meet functional and performance requirements to accomplish the defined missions."
Exploration Systems,Topic X3,Environmental Control and Life Support (ECLS),"
 Environmental Control and Life Support (ECLS) encompasses the process technologies and equipment necessary to provide and maintain a livable environment within a crewed spacecraft or surface habitat cabin. Functional areas of interest to this solicitation include atmospheric resource management; airborne particulate matter removal and disposal; water recovery systems; waste management; fire protection systems; and environmental monitoring. Technologies are needed for crewed space exploration missions supporting the Vision for Space Exploration with emphasis on missions to the lunar surface, including short duration lunar sortie and long duration lunar outpost missions. Vehicles of interest include the Lunar Lander and Lunar Outpost (LO). Requirements include operation in micro- and/or partial-gravity as well as ambient and reduced-pressure cabin environments. Special emphasis is placed on developing technologies that will fill existing gaps; have a significant impact on reduction of mass, power, volume and crew time; and increase safety and reliability."
Exploration Systems,Topic X4,Extra Vehicular Activity (EVA),"
 Advanced extravehicular activity (EVA) systems are necessary for the successful support of future human space exploration missions. Advanced EVA systems include the space suit pressure garment, the portable life support system, tools and equipment, and mobility aids, such as rovers. Complex missions require innovative approaches for maximizing human productivity and for providing the capability to perform useful work tasks. Top level requirements include reduction of system hardware weight and volume; increased hardware reliability, durability, and operating lifetime (before resupply, recharge and maintenance, or replacement is necessary); reduced hardware and software costs; increased human comfort; and less-restrictive work performance capability in the space environment, in hazardous ground-level contaminated atmospheres, or in extreme ambient thermal environments. Environmental protection, such as space suit radiation protection and dust mitigation technologies, are of particular interest. Innovative and highly reliable EVA communications, avionics and informatics are also of interest. All proposed Phase 1 research must lead to specific Phase 2 experimental development that could be integrated into a functional EVA system."
Exploration Systems,Topic X5,Lunar In-Situ Resource Utilization (ISRU),"

 The purpose of In Situ Resource Utilization (ISRU), or ""living off the land"", is to harness and utilize space resources to create products and services which can enable and significantly reduce the mass, cost, and risk of near-term and long-term space exploration. By producing propellants, life support and fuel cell power consumables, and other items from in situ resources and eliminating the need to launch everything from the Earth, long-term launch and mission costs can be reduced, while potentially increasing science and exploration capabilities and mission safety. In Dec. 2006, NASA unveiled a draft lunar architecture that involves the deployment and buildup of an Outpost at a single location on the Moon that could take advantage of the sunlight and potential water resources at the lunar poles. The architecture also proposed the deployment of an ISRU system to make oxygen and water for life support and Extra-Vehicular Activity (EVA) by 2023 and potentially for propulsion applications by 2027. Besides consumable production, the ability to excavate and manipulate lunar soil (or regolith) and modify surface features and terrain for crew radiation protection, landing plume mitigation and shielding, habitat and nuclear reactor deployment, and minimizing dust generation during surface activities were also considered as potentially important capabilities for Outpost deployment and operations. The purpose of the following subtopics is to demonstrate and/or develop critical technologies and capabilities to meet Outpost architecture and surface manipulation objectives for near and long term human exploration of the Moon."
Exploration Systems,Topic X6,"Structures, Materials and Mechanisms","
 The SBIR topic area of Structures, Materials and Mechanisms centers on (1) developing lightweight structures and advance materials technologies to support Lunar Landers and Lunar Habitats and (2) low-temperature mechanisms to improve and or allow for reliable and efficient mechanism operation for long duration in the cold polar and crater regions of the lunar surface. Lightweight structures and advanced materials have been identified as a critical need since the reduction of structural mass translates directly to additional up and down mass capability that would facilitate additional logistics capacity and increased science return for all mission phases. The structures and materials program utilizes and combines multi-center R&D teams into focused activities for developing lightweight structure technology for the primary load bearing structure of the pressurized elements of the Vision for Space Exploration (VSE) program. The major technology drivers of the lightweight structure technology development are to significantly enhance structural systems for man-rated pressurized structures by (1) lowering mass and/or improving efficient volume for reduced launch costs, (2) improving performance to reduce risk and extend life, and (3) improving manufacturing and processing to reduce costs. This topic area is responsible for mid-level technology research, development, and testing through experimental and/or analytical validation. Three subtopics represent the structures and materials area: (1) Lightweight Structures; (2) Low Temperature Mechanisms; and (3) Advanced Radiation Shielding Materials.  In missions to the lunar surface, permanently shadowed regions of the Moon, e.g., the bottoms of craters in the Polar Regions, are high interest to science and exploration. These areas appear to remain at temperatures of 50 to 80K (-223°C to -193°C). Current surface exploration hardware has demonstrated capability to operate in the range of -115°C to 0°C on Mars. However, the technical challenges of developing and demonstrating hardware that can operate over 100°C colder than current capabilities are significant. The major technology drivers of the low temperature mechanism technology development are to significantly enhance operation of mechanized parts by (1) lowering the operating temperature for the life of the component and (2) improve mechanism performance (torque out put, actuation performance, lubrication state) at the lunar environment conditions of cold and vacuum. The targeted application of the technology is to provide for operation of motors and drive systems, lubricated mechanisms, and actuators of lunar rovers and mobility systems, ISRU machinery, robotic systems mechanisms, and surface operations machinery (i.e., cranes, deployment systems, airlocks), for lunar surface operations. This topic area is responsible for mid-level technology research, development, and testing through experimental and/or analytical validation. There is one subtopic in this area, Low Temperature Mechanisms."
Exploration Systems,Topic X7,Lunar Operations,"
 This call for technology development is in direct support of the Exploration Systems Mission Directorate (ESMD) Technology Development Program. The purpose of this research is to develop new technologies to support lunar exploration missions, providing systems that interact with humans, handle surface equipment and move people and their payloads at, and away from, a lunar outpost. The objective is to produce new technology that will reduce crew extra-vehicular activity (EVA) and intra-vehicular activity (IVA) workloads, lunar operations and reduce the total mass and volume of equipment and materials required to support missions. The proposals should focus on component technologies to improve the operations of exploration equipment, allowing for less expensive, more productive and less risky missions. This research will focus on technology development for the critical functions that fall into three phases of surface exploration. The first phase of surface exploration will be functions that are needed prior to crew arriving at a site. These precursors may be hours, days, weeks or years ahead of the crew landing on the surface. The second phase of surface exploration will be during a crew's stay at the site. This work will include supporting the crew in IVA and in EVA tasks. The third phase of surface exploration will include long-term maintenance of the facility, as well as supporting activities performed between crews."
Exploration Systems,Topic X8,Energy Generation and Storage,"
 This topic includes the development of power capabilities that are on the critical path to enabling the Exploration Vision including human and robotic exploration missions from Earth orbit to the Moon and ultimately, Mars. Areas of primary interest are: orbital and planetary surface energy storage and non-solar power generation. Flight elements of the Exploration Vision initially include the Orion and ARES crew and launch vehicles, respectively. For lunar capability, additional elements include the Lunar Lander or Lunar Surface Access Module (LSAM), robotic missions, and surface systems. Surface systems include human habitats, Extravehicular Activities (EVA), science measurements, and the utilization of in situ resources. These flight systems require energy storage capabilities up to and greater than 10 kW-hr. Effective solutions require high-capacity, high-energy density, and long-life energy storage systems. Rechargeable lithium-based batteries (e.g., ion, sulphur) that provide energy storage for Exploration missions are required to be human-rated. For the lunar environment, batteries must operate over a greater range of temperatures than current state-of-the-art systems. The Exploration architecture calls for advanced fuel cells to meet the LSAM and surface system power requirements. Fuel cell systems provide power largely independent of environment (solar incidence), which allows greater mission flexibility and provide more power than other energy storage systems. Regenerative fuel cell systems, which combine a fuel cell with a water electrolyzer, will be required to meet long duration surface power energy storage needs. Prior architecture studies have identified nuclear power technology to effectively satisfy high power requirements for extended duration lunar surface missions. Nuclear power generation is especially attractive for missions with significant solar eclipse periods, including non-polar locations and inside lunar craters. Likewise, nuclear power has been identified as a critical power technology for Mars exploration and a lunar deployment is proposed to reduce risk through demonstration and validation of capabilities."
Exploration Systems,Topic X9,Propulsion and Cryogenic Systems,"

 The Exploration Systems architecture presents some propulsion challenges that require new technologies to be developed. Some of these technologies are for long term cryogenic propellant storage, management, and acquisition; deep throttle cryogenic propellant space engines; pressure-fed liquid oxygen\liquid methane propellant reaction control engines; and pressure-fed liquid oxygen\liquid methane propellant space engines. Furthermore, specific technologies are required in valves, regulators, combustion devices, turbo pumps, ignition, instrumentation, modeling, controls, materials and structures, pressurization, mass gauging, and cryogenic fluid management. The anticipated technologies to be proposed are expected to increase reliability, increase system performance, and be capable of being made flight qualified and certified for the flight systems and dates to meet Exploration Systems mission requirements."
Exploration Systems,Topic X10,Protection Systems,"
 The Thermal Protection System (TPS) protects a spacecraft from the severe heating encountered during hypersonic flight through a planetary atmosphere. In general, there are two classes of TPS: reusable and ablative. Typically, reusable TPS applications are limited to relatively mild entry environments like that of Space Shuttle. No change in the mass or properties of the TPS material results from entry with a significant amount of energy being re-radiated from the heated surface and the remainder conducted into the TPS material. Typically, a surface coating with high emissivity (to maximize the amount of energy re-radiated) and with low surface catalycity (to minimize convective heating by suppressing surface recombination of dissociated boundary layer species) is employed. The primary insulation has low thermal conductivity to minimize the mass of material required to insulate the primary structure. Ablative TPS materials, in contrast, accommodate high heating rates and heat loads through phase change and mass loss. All NASA planetary entry probes to date have used ablative TPS. Most ablative TPS materials are reinforced composites employing organic resins as binders. When heated, the resin pyrolyzes producing gaseous products that are heated as they percolate toward the surface thus transferring some energy from the solid to the gas. Additionally, the injection of the pyrolysis gases into the boundary layer alters the boundary layer properties resulting in reduced convective heating. However, the gases may undergo chemical reactions with the boundary layer gases that could return heat to the surface. Furthermore, chemical reactions between the surface material and boundary layer species can result in consumption of the surface material leading to surface recession. Those reactions can be endothermic (vaporization, sublimation) or exothermic (oxidation) and will have an important impact on net energy to the surface. Clearly, in comparison to reusable TPS materials, the interaction of ablative TPS materials with the surrounding gas environment is much more complex as there are many more mechanisms to accommodate the entry heating. NASA has successfully tackled the complexity of thermal protection systems for numerous missions to inner and outer planets in our solar system in the past; the knowledge gained has been invaluable but incomplete. Future missions will be more demanding. For example, if existing materials were to be used for the proposed Mars Sample Return mission, the TPS mass fraction would be on the order of 40%. The potential savings that could be achieved with some investment in TPS technology development is sizeable."
Exploration Systems,Topic X11,Thermal Management,"
 Future spacecraft will be in low Earth orbit, travel to the Moon, and travel to Mars, Jupiter, Venus, and their moons. Innovative thermal management technologies are needed to manage the waste heat from these spacecraft as efficiently as possible."
Exploration Systems,Topic X12,Exploration Crew Health Capabilities,"
 Human exploration capabilities must keep the crew healthy so they can adequately perform their mission and return safely to Earth. These subtopics seek innovative technologies to prevent degradations in performance and health from the adverse physiological responses to the space flight environment and to provide medical support in both normal activities and medical emergencies. They assure that there will be no long-term adverse health consequences while supporting a healthy and productive sustained human presence."
Exploration Systems,Topic X13,Space Human Factors and Food Systems,"

 The new Vision for Space Exploration encompasses needs for innovative technologies in the areas of Space Human Factors and Food Systems. Operations in confined, isolated, and foreign environments can lead to impairments of human performance. This Topic seeks methods for monitoring, modeling, and predicting human performance in the spaceflight environment. These methods and tools are needed for accurate and valid human system integration into vehicle design and operations. Additionally, significant advancements in food technologies will be needed for long-duration Lunar and Mars missions. This Topic seeks innovative technologies for providing shelf-stable food with a shelf-life of 3 ¬ 5 years, new food packaging technologies that eliminate or minimize waste, and new technologies for on-orbit meal preparation and dining."
Exploration Systems,Topic X14,Space Radiation,"
 The goal of the NASA Space Radiation Research Program is to assure that we can safely live and work in the space radiation environment, anywhere, any time. Space radiation is different from forms of radiation encountered on Earth. Radiation in space consists of high-energy protons, heavy ions and secondary products created when the protons and heavy ions pass through spacecraft shielding and human tissue. The Space Radiation Program Element uses the NASA Research Announcement as a primary means of soliciting research to understand the health risks and reduce the uncertainties in risk projections. Reliable radiation monitoring for manned and unmanned spaceflight is a specific area where the SBIR technologies can potentially contribute to NASA's overall goal. Three particular areas of interest are: Small Personal Dosimetry; Charged Particle Spectroscopy; Neutron Spectroscopy."
