Higher Topic,Focus Area Code,Focus Area name,Content
,Focus Area 11,Spacecraft and Platform Subsystems,"The Science Mission Directorate (SMD) will carry out the scientific exploration of our Earth, the planets, moons, comets, and asteroids of our solar system, and the universe beyond. SMD’s future direction will be moving away from exploratory missions (orbiters and flybys) into more detailed/specific exploration missions that are at or near the surface (landers, rovers, and sample returns) or at more optimal observation points in space. These future destinations will require new vantage points or would need to integrate or distribute capabilities across multiple assets. Future destinations will also be more challenging to get to, have more extreme environmental conditions and challenges once the spacecraft gets there, and may be a challenge to get a spacecraft or data back from. A major objective of the NASA science spacecraft and platform subsystems development efforts are to enable science measurement capabilities using smaller and lower cost spacecraft to meet multiple mission requirements thus making the best use of our limited resources. To accomplish this objective, NASA is seeking innovations to significantly improve spacecraft and platform subsystem capabilities while reducing the mass and cost that would in turn enable increased scientific return for future NASA missions. A spacecraft bus is made up of many subsystems such as: propulsion; thermal control; power and power distribution; attitude control; telemetry command and control; transmitters/antenna; computers/on-board processing/software; and structural elements. High performance space computing technologies are also included in this focus area. Science platforms of interest could include unmanned aerial vehicles, sounding rockets, or balloons that carry scientific instruments/payloads, to planetary ascent vehicles or Earth return vehicles that bring samples back to Earth for analysis. This topic area addresses the future needs in many of these sub-system areas, as well as their application to specific spacecraft and platform needs. For planetary missions, planetary protection requirements vary by planetary destination, and additional backward contamination requirements apply to hardware with the potential to return to Earth (e.g., as part of a sample return mission). Technologies intended for use at/around Mars, Europa (Jupiter), and Enceladus (Saturn) must be developed so as to ensure compliance with relevant planetary protection requirements. Constraints could include surface cleaning with alcohol or water, and/or sterilization treatments such as dry heat (approved specification in NPR 8020.12; exposure of hours at 115° C or higher, non-functioning); penetrating radiation (requirements not yet established); or vapor-phase hydrogen peroxide (specification pending). The National Academies’ Decadal Surveys for Astrophysics, Earth Science, Heliophysics, and Planetary Science discuss some of NASA’s science mission and technology needs and are available at https://sites.nationalacademies.org/SSB/SSB_052297(link is external). In addition, the Heliophysics roadmap “The Solar and Space Physics of a New Era: Recommended Roadmap for Science and Technology 2009­2030” is available at   http://hpde.gsfc.nasa.gov/2009_Roadmap.pdf."
,Focus Area 12,"Entry, Descent, and Landing Systems","The SBIR focus area of Entry, Descent and Landing (EDL) includes the suite of technologies for atmospheric entry as well as descent and landing on both atmospheric and non-atmospheric bodies. EDL mission segments are used in both robotic planetary science missions and human exploration missions beyond Low Earth Orbit, and many technologies have application to emerging commercial space capabilities.Robust, efficient, and predictable EDL systems fulfill the critical function of delivering payloads to planetary surfaces through challenging environments, within mass and cost constraints. Future NASA missions will require new technologies to break through historical constraints on delivered mass, enable sustained human presence, or to go to entirely new planets and moons. Even where heritage systems exist, no two planetary missions are exactly “build-to-print,” so there are frequently issues of environmental uncertainty, risk posture, and resource constraints that can be dramatically improved with investments in EDL technologies. EDL relies on validated models, ground tests, and sensor technologies for system development and certification. Both new capabilities and improved knowledge are important facets of this focus area.Because this topic covers a wide area of interests, subtopics are chosen to enhance and or fill gaps in the existing technology development projects. Future subtopics will support one or more of four broad capability areas, which represent NASA’s goals with respect to planetary Entry, Descent and Landing:High Mass to Mars SurfacePrecision Landing and Hazard AvoidancePlanetary Probes and Earth Return VehiclesEDL Data Return and Model ImprovementA cross-cutting set of disciplines and technologies will help mature these four capability areas, to enable more efficient, reliable exploration missions.This year the Entry, Descent and Landing focus area is seeking innovative solutions for:Deployable Decelerator TechnologiesLander Systems Technologies, particularly for the MoonEDL Sensors, including those embedded in thermal protection systems and those used for proximity operations and landing3D Weaving DiagnosticsDiagnostic tools for specialized EDL facilitiesHot Structure Technology for Aerospace VehiclesThe specific needs and metrics of each of these specific technology developments are described in the subtopic descriptions."
,Focus Area 13,Information Technologies for Science Data,"NASA Missions and Programs create a wealth of science data and information that are essential to understanding our earth, our solar system and the universe. Advancements in information technology will allow many people within and beyond the Agency to more effectively analyze and apply these data and information to create knowledge. For example, modeling and simulation are being used more pervasively throughout NASA, for both engineering and science pursuits, than ever before. These tools allow high fidelity simulations of systems in environments that are difficult or impossible to create on Earth, allow removal of humans from experiments in dangerous situations, provide visualizations of datasets that are extremely large and complicated, and aid in the design of systems and missions. In many of these situations, assimilation of real data into a highly sophisticated physics model is needed. Information technology is also being used to allow better access to science data, more effective and robust tools for analyzing and manipulating data, and better methods for collaboration between scientists or other interested parties. The desired end result is to see that NASA data and science information are used to generate the maximum possible impact to the nation: to advance scientific knowledge and technological capabilities, to inspire and motivate the nation's students and teachers, and to engage and educate the public."
,Focus Area 14,"On-orbit Servicing, Assembly, and Manufacturing (OSAM)","NASA is seeking technological innovations that will accelerate development and adoption of advanced manufacturing and modular assembly technologies supporting a wide range of NASA Missions. NASA has an immediate need for more affordable and more capable materials and processes across its unique missions, systems, and platforms. Cutting-edge manufacturing technologies offer the ability to dramatically increase performance and reduce the cost of NASA’s programs. The ability to improve cost, launch mass, system resiliency and extended life time by advancing technologies to enable large structures that can be deployed, assembled/constructed, reconfigured and serviced in-space or on planetary surfaces is also imperative to NASA’s Missions. In the areas of manufacturing, this topic is focused on technologies for both the ground-based advancements and in-space manufacturing capabilities required for sustainable, long-duration space missions to destinations such as Mars. The terrestrial subtopic areas concentration is on research and development of advanced metallic materials, processes and additive manufacturing technologies for their potential to increase the capability and affordability of engines, vehicles, space systems, instruments and science payloads by offering significant improvements over traditional manufacturing methods. Technologies should facilitate innovative physical manufacturing processes combined with the digital twin modeling and simulation approach that integrates modern design and manufacturing. The in-space manufacturing focus area includes: a) manufacturing and recycling in an intravehicular environment (for production of spare parts and to achieve logistics reductions); b) manufacturing of large scale structures with dimensions exceeding current payload fairings with additive manufacturing in the external space environment; and, c) repair and assembly of structures using joining technologies. In addition, advances in lighter-weight metals processing (on ground and in-space) will enable the delivery of higher-mass payloads to Mars and beyond. In order to achieve necessary reliabilities and ensure parts meet requirements for intended use scenarios, development of in situ process assessment, feedstock control and monitoring, and volumetric inspection capabilities are urgently needed. This topic also includes autonomous assembly of structures in space, focused on four critical aspects including autonomy, system modularity, metrology, and modeling & simulation. The hardware and software components of an in-space assembled structure must be modular to facilitate servicing, component replacement, and reconfiguration of the spacecraft. Research should be conducted to demonstrate technical feasibility and prototype hardware development during Phase I and show a path toward Phase II hardware and software demonstration and delivering an engineering development unit for NASA testing at the completion of the Phase II that could be turned into a proof-of-concept system for flight demonstration. To understand the full technology needs and requests see the detailed topic and subtopic descriptions."
,Focus Area 15,"Materials, Materials Research, Structures, and Assembly","As NASA strives to explore deeper into space than ever before, lightweight structures and advanced materials have been identified as a critical need. The Lightweight Materials, Structures, Advanced Assembly and Construction focus area seeks innovative technologies and systems that will reduce mass, improve performance, lower cost, be more resilient and extend the life of structural systems. Reliability will become an enabling consideration for deep space travel where frequent and rapid supply and resupply capabilities are not possible. Improvement in all of these areas is critical to future missions. Applications include structures and materials for launch, in-space and surface systems, deployable and assembled systems, integrated structural health monitoring (SHM) and technologies to accelerate structural certification. Since this focus area covers a broad area of interests, specific topics and subtopics are chosen to enhance and or fill gaps in the space and exploration technology development programs as well as to complement other mission directorate structures and materials needs."
,Focus Area 16,Ground & Launch Processing,"Ground processing technology development prepares the agency to test, process and launch the next generation of rockets and spacecraft in support of NASA's exploration objectives by developing the necessary ground systems, infrastructure and operational approaches.This topic seeks innovative concepts and solutions for both addressing long-term ground processing and test complex operational challenges and driving down the cost of government and commercial access to space. Technology infusion and optimization of existing and future operational programs, while concurrently maintaining continued operations, are paramount for cost effectiveness, safety assurance, and supportability.A key aspect of NASA's approach to long term sustainability and affordability is to make test, processing and launch infrastructure available to commercial and other government entities, thereby distributing the fixed cost burden among multiple users and reducing the cost of access to space for the United States.Unlike previous work focusing on a single kind of launch vehicle such as the Saturn V rocket or the Space Shuttle, NASA is preparing common infrastructure to support several different kinds of spacecraft and rockets that are in development. Products and systems devised at a NASA center could be used at other launch sites on earth and eventually on other planets or moons.Specific emphasis to substantially reduce the costs and improve safety/reliability of NASA's test and launch operations includes development of ground test and launch environment technology components, system level ground test systems for advanced propulsion, autonomous control technologies for fault detection, isolation, and recovery, including autonomous propellant management, and advanced instrumentation technologies including Intelligent wireless sensor systems."
,Focus Area 17,Thermal Management Systems,"From the smallest satellite to the most complicated human rated spacecraft, thermal is seen as an enabling function to a vehicle. Temperatures must be maintained within design limits, whether those be cryogenic systems for science instruments, or comfortable shirt sleeve operations temperatures for crew missions. As missions evolve and waste energy rejection becomes more of a demand, NASA seeks components for both active and passive thermal systems. Such components complete the thermal cycle which includes waste energy acquisition, transport, rejection/storage, and insulation. The intended goal for any advanced thermal development is to enable new mission concepts while maintaining minimal impact to thermal system mass, volume, and power to maintain a spacecraft at specific temperature limits."
,Focus Area 18,Air Vehicle Technology,"This focus area includes tools and technologies that contribute to both the Advanced Air Vehicles Program (AAVP) and the Transformative Aeronautics Concepts Program (TACP) encompassing technologies in all six Strategic Thrusts within the NASA Aeronautics Mission Directorate (ARMD). AAVP studies, evaluates and develops technologies and capabilities for new aircraft systems, and also explores far-future concepts that hold promise for revolutionary air-travel improvements. Innovative AAVP design concepts for advanced vehicles integrate technologies focus on fuel burn, noise, emissions and intrinsic safety. The goal: to enable new aircraft to fly safer, faster, cleaner, quieter, and use fuel far more efficiently. Partnering with industry, academia, and other government agencies, AAVP pursues mutually beneficial collaborations to leverage opportunities for effective technology transition. TACP encourages revolutionary concepts, creates the environment for researchers to experiment with new ideas, performs ground and small-scale flight tests, and drives rapid turnover into potential future concepts to enable aviation transformation. Research is organized to aggressively engage both the traditional aeronautics community and non-traditional partners. Although TACP focuses on sharply focused studies, the program provides flexibility for innovators to assess new-technology feasibility and provide the knowledge base for radical aeronautics advances.in noise reduction technology."
,Focus Area 19,Integrated Flight Systems,This focus area includes technologies that contribute to the Integrated Aviation Systems Program's (IASP) objectives to demonstrate integrated concepts and technologies to a maturity level sufficient to reduce risk of implementation for stakeholders in the aviation community through the rigorous execution of highly complex flight tests and related experiments.
,Focus Area 20,Airspace Operations and Safety,"This focus area includes technologies addressing both the Airspace Operations and Safety Program (AOSP), and NASA's ARMD Strategic Thrusts 1, 5, and 6. AOSP is targeting system-wide operational benefits of high impact for NextGen and beyond, both in the areas of airspace operations and safety management. The SBIR Airspace Operations and Safety Topic is focused on research and technology development for enabling a modernized air transportation system that will achieve much greater capacity and operational efficiency while maintaining or improving safety and other performance measures. This will include the integration of new types of vehicles such as unmanned vehicles, advanced subsonic aircraft, supersonic or commercial space vehicles; new types of business models or operations (i.e., urban air mobility); and new architectures or services for enabling these operations within the NAS."
,Focus Area 21,Small Spacecraft Technologies,"Small spacecraft can accomplish commercial, science and exploration missions in unique and more affordable ways than can large conventional spacecraft. Small spacecraft are typically defined as those weighing 180 kg or less, and often designed for “containerized” deployment – e.g. CubeSats. NASA seeks small spacecraft technical innovations to rival the capabilities of their larger more expensive counterparts, while also striving to make them cheaper and quicker to build, easier to launch and operate. Previously limited to low Earth orbit, NASA also seeks improvements for their long-term use in cislunar space for lunar exploration, as lunar communications and navigation infrastructure, and to explore Mars and other deep space destinations. For deep space missions, improvements are needed in: long-range high-bandwidth radios packaged for small spacecraft; creation of and use of novel navigation devices and navigation references for use well beyond Earth; improved power and thermal management technologies; and subsystems tolerant of radiation environment in deep space. Propulsion technologies are sought for Trans Lunar Injection (TLI), lunar orbit insertion and maintenance, including transfer stages that host small spacecraft, return-to-Earth and Earth entry and descent mechanisms. Cooperatively operating ensembles and large swarms of small spacecraft require technical innovations that reduce small spacecraft delivery time and operations costs while increasing production, availability and reliability. Commercially available “stock” optics are needed in place of expensive, long-lead custom designs. Advancements are needed in reliable low-cost manufacturability, including modular and wirelessly interconnected subsystems, advancements in systems engineering, verification and test. Intelligent autonomous operations algorithms, spatial sensors and processors needed to interoperate in groups and to operate at long distances to relieve human-in-the-loop operations. NASA’s Small Spacecraft Technology Program will consider promising SBIR technologies for spaceflight demonstration missions and seeks partnerships to accelerate spaceflight testing and commercial infusion. Some of the features that are desirable for small spacecraft technologies across all system areas are the following:  Simple design.High reliability.Tolerant of extreme thermal and/or radiation environments.Low cost or short time to develop.Low cost to procure flight hardware when technology is mature.Small system volume or low mass.Low power consumption in operation.Suitable for rideshare launch opportunities or storage in habitable volumes (minimum hazards).Able to be stored in space for several years prior to use.High performance relative to existing system technology.The following references discuss some of NASA's small spacecraft technology activities:www.nasa.gov/smallsats https://www.nasa.gov/smallsat-instituteAnother useful reference is the Small Spacecraft Technology State of the Art Report at:https://sst-soa.arc.nasa.gov"
,Focus Area 22,Low Earth Orbit Platform Utilization and Microgravity Research,"The Human Exploration and Operations Mission Directorate (HEOMD) provides mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: operating the International Space Station (ISS); ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of astronauts. Additionally, the HEOMD is chartered with the development of the core transportation elements, key systems, and enabling technologies required for beyond-Low Earth Orbit (LEO) human exploration that will provide the foundation for the next half-century of American leadership in space exploration. In this topic area, NASA is seeking technologies that address how to improve and lower costs related to use of flight assets; maximize the utilization of the ISS for in-situ research; and utilize the ISS as a platform for in-space commercial science and technology opportunities.NASA seeks to accomplish these objectives by achieving following goals:Investing in the near- and mid-term development of highly-desirable system and technologies that provide innovative ways to leverage existing ISS facilities for scientific payloadsIncreasing investments in research to prepare for extended duration missions in near Earth space and beyondEnabling U.S. commercial spaceflight opportunities and technology development to support the commercialization of low Earth orbit (LEO)Through the potential projects spurred by this topic, NASA hopes to incorporate SBIR-developed technologies into current and future systems to contribute to the expansion of humanity across the solar system while providing continued cost-effective ISS operations and utilization for its customers, with a high standard of safety, reliability, and affordability.References:Space Station Research &Technology:  https://www.nasa.gov/mission_pages/station/research/experiments/explorerCenter for the Advancement of Science in Space: https://www.iss-casis.org/(link is external)"
