Higher Topic,Focus Area,Subtopic,Lead Center,Content,Participating Center(s)
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3 Manipulation,"S4.02Robotic Mobility, Manipulation and Sampling", JPL,"Technologies for robotic mobility, manipulation, and sampling are needed to enable access to sites of interest and acquisition and handling of samples for in-situ analysis or return to Earth from planetary and solar system small bodies including Mars, Venus, comets, asteroids, and planetary moons (both rocky and icy). Mobility technologies are needed to enable access to steep and rough terrain for planetary bodies where gravity dominates, such as the Moon and Mars. Wheel concepts with good tractive performance in loose sand while being robust to harsh rocky terrain are of interest. Technologies to enable mobility on small bodies in micro-gravity environments and access to liquid bodies below the surface such as in conduits and deep oceans are desired, as well as associated sampling technologies. Manipulation technologies are needed to deploy sampling tools to the surface and transfer samples to in-situ instruments and sample storage containers, as well as hermetic sealing of sample chambers. On-orbit manipulation of a Mars sample cache canister is needed from capture to transfer into an Earth Entry Vehicle. Sample acquisition tools are needed to acquire samples on planetary and small bodies through soft and hard materials, including ice. Minimization of mass and ability to work reliably in the harsh mission environment are important characteristics for the tools. Contamination control and planetary protection are important considerations for sample acquisition and handling technologies. Contamination may include Earth-source contaminants produced by the sampling tool, handling system, or deposited on the sampling location from another source on the rover or spacecraft. Cleaning to Sterility technologies are needed that will be compatible with spacecraft materials and processes. Surface cleaning validation methods are needed that can be used routinely to quantify trace amounts (~ng/cm2) of organic contamination and submicron particle (~100nm size) contamination. Priority will be given to cleaning and sterilization methods that have potential for in-situ applications. Component technologies for low-mass and low-power systems tolerant to the in-situ environment are of particular interest. Technical feasibility should be demonstrated during Phase I and a full capability unit of at least TRL 4 should be delivered in Phase II. Proposals should show an understanding of relevant science needs and engineering constraints and present a feasible plan to fully develop a technology and infuse it into a NASA program. Specific areas of interest include the following: Surface and subsurface sampling systems for planets, small bodies, and moons. Small body anchoring systems. Low mass/power vision systems and processing capabilities that enable fast surface traverse. Electro-mechanical connectors enabling tool change-out in dirty environments. Tethers and tether play-out and retrieval systems. Miniaturized flight motor controllers. Cleaning to sterility technologies that will be compatible with spacecraft materials and processes. Surface cleaning validation technology to quantify trace amount (~ng/cm2) of organic contamination and submicron particle (~100nm size) contamination. Sample handling technologies that minimize cross contamination and preserve mechanical integrity of samples. Read less>>"," AFRC, ARC, GSFC, JSC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.4 Human-Systems Integration,Z5.01Augmented Reality, JSC,"One of NASA's strategic goals is to extend and sustain human activities across the solar system. With time delays and potentially sparse communications back to earth, astronauts will face the daunting task of operating and maintaining numerous systems that might unexpectedly break or may even be required to perform life-saving surgery without support from the earth based operators. The augmented reality (AR) technology holds the promise to reduce crew reliance of ground and paper procedure support in a deep-space human spaceflight missions. Within the ISS Program, maintenance requires well trained crew members and is labor intensive, expensive and inefficient. NASA use paper and electronic procedures to direct crew through complex maintenance procedures for all on-board systems. Developing and executing procedures are still time consuming and tedious tasks, and substantial training is needed to understand the technical details for troubleshooting defective components, and the performance of critical maintenance and repairs. Augmented Reality based systems could significantly support future human exploration missions by providing the type of guidance normally associated with an expert human trainer. The capabilities of envisioned future AR based system will augment the abilities of the crew while being simple and highly intuitive to use. On board maintenance is one of the potential areas in which Augmented Reality can be a game changing technology. Other areas such as physical and mental health support for long duration mission isolation from family and friends, mission planning, mission data visualization, are also to be considered in the context of this topic. The objective of this subtopic is to develop and mature AR technology (system/ software) and to impact all aspect of mission operations including planning, execution, training and crew health countermeasures, in order to enable human exploration beyond LEO. Proposal are sought to address the following Technology Areas: TA-4 TABS 4.4 Human Systems Interface: augmenting the natural environment with precise visual cues as well as with audible and tactile alerts to fully engage and guide the human operator through lengthy and complex spaceflight procedures. TA-4 TABS 4.5 Autonomy: using AR technology to enable crew autonomous operation and reduce dependency for ground support. TA-6 TABS 6.3 Human Health and Performance: using AR technology to enhance situational awareness and to reduce cognitive overload while performing complex task. TA-7 TABS 7.5 Mission Operations & Safety: using AR technology to reduce human error, improve operational efficiency and mission timeline while reducing prior training requirements. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path toward Phase II system/software demonstration and delivering a demonstration system/software package for NASA testing. Read less>>"," JPL, KSC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,A2.02Unmanned Aircraft Systems Technology, AFRC,"Unmanned Aircraft Systems (UAS) offer advantages over manned aircraft for applications which are dangerous to humans, long in duration, require great precision, and require quick reaction. Examples of such applications include remote sensing, disaster response, delivery of goods, agricultural support, and many other known and yet to be discovered. In addition, the future of UAS promises great economic and operational advantages by requiring less human participation, less human training, an ability to take-off and land at any location, and the ability to react to dynamic situations. NASA is involved in research that would greatly benefit from breakthroughs in UAS capabilities. Flight research of basic aerodynamics and advanced aero-vehicle concept would be revolutionized with an ability of UAS teams to cooperate and interact while making real time decisions based upon sensor data with little human oversight. Commercial industry would likewise be revolutionized with such abilities. There are multiple technological barriers that are restricting greater use and application of UAS in NASA research and in civil aviation. These barriers include, but are not limited to, the lack of methods, architectures, and tools which enable: The verification, validation, and certification of complex and/or nondeterministic systems. Humans to operate multiple UAS with minimal oversight. Multi-vehicle cooperation and interoperability. High level machine perception, cognition, and decision making. Inexpensive secure and reliable communications. This solicitation is intended to break through these and other barriers with innovative and high-risk research. The Integrated Aviation Systems Program's work on UAS Technology for the FY 2016 NASA SBIR solicitation is focused on breaking through barriers to enable greater use of UAS in NASA research and in civil aviation use. The following five research areas are the primary focus of this solicitation, but other closely related areas will also be considered for reward. The primary research areas are: Verification, Validation, and Certification - New inexpensive methods of verification, validation, and certification need to be developed which enable application of complex systems to be certified for use in the national airspace system. Proposed research could include novel hardware and software architectures that enable or circumvent traditional verification and validation requirements. Operation of multiple UAS with minimal human oversight - Novel methods, software, and hardware that enable the operation of multiple UAS by a single human with minimal oversight need to be developed which ensure robust and safe operations. Proposed research could include novel hardware and software architectures which provide guarantees of safe UAS operations. Multi-vehicle cooperation and interoperability - Technologies that enable UAS to interact in teams, including legacy vehicles, need to be developed. This includes technologies that enable UAS to negotiate with others to find optimal routes, optimal task allocations, and optimal use of resources. Proposed research could include hardware and software architectures which enable UAS to operate in large cooperative and interactive teams Sensing, perception, cognition, and decision making - Technologies need to be developed that provide the ability of UAS to detect and extract internal and external information of the vehicle, transform the raw data into abstract information which can be understood by machines or humans, and recognize patterns and make decisions based on the data and patterns. Inexpensive, reliable, and secure communications - Inexpensive methods which ensure reliable and secure communications for increasingly interconnected and complex networks need to be developed that are immune from sophisticated cyber-physical attacks. Phase I deliverables should include, but are not limited to: A final report clearly stating the technology challenge addressed, the state of the technology before the work was begun, the state of technology after the work was completed, the innovations that were made during the work period, the remaining barriers in the technology challenge, a plan to overcome the remaining barriers, and a plan to infuse the technology developments into UAS application. A technology demonstration in a simulation environment which clearly shows the benefits of the technology developed. A written plan to continue the technology development and/or to infuse the technology into the UAS market. This may be part of the final report. Phase II deliverables should include, but are not limited to: A final report clearly stating the technology challenge addressed, the state of the technology before the work was begun, the state of technology after the work was completed, the innovations that were made during the work period, the remaining barriers in the technology challenge, a plan to overcome the remaining barriers, and a plan to infuse the technology developments into UAS application. A technology demonstration in a relevant flight environment which clearly shows the benefits of the technology developed. Evidence of infusing the technology into the UAS market or a clear written plan for near term infusion of the technology into the UAS market. This may be part of the final report. Read less>>"," GRC, LaRC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,S5.05Fault Management Technologies, ARC,"As science missions are given increasingly complex goals and have more pressure to reduce operations costs, system autonomy increases. Fault Management (FM) is one of the key components of system autonomy. FM consists of the operational mitigations of spacecraft failures. It is implemented with spacecraft hardware, on-board autonomous software that controls hardware, software, information redundancy, and ground-based software and operations procedures. Many recent Science Mission Directorate (SMD) missions have encountered major cost overruns and schedule slips during test and verification of FM functions. These overruns are due to a lack of understanding of FM functions early in the mission definition cycles and to FM architectures that do not provide attributes of transparency, verifiability, fault isolation capability, or fault coverage. The NASA FM Handbook is under development to improve the FM design, development, verification and validation and operations processes. FM approaches, architectures, and tools are needed to improve early understanding of needed FM capabilities by project managers and FM engineers and to improve the efficiency of implementing and testing FM. Specific objectives are to: Improve the ability to predict FM system complexity and estimate development and operations costs. Enable cost-effective FM design architectures and operations. Determine completeness and appropriateness of FM designs and implementations. Decrease the labor and time required to develop and test FM models and algorithms. Improve visualization of the full FM design across hardware, software, and operations procedures. Determine extent of testing required, completeness of verification planned, and residual risk resulting from incomplete coverage. Increase data integrity between multi-discipline tools. Standardize metrics and calculations across FM, SE, S&MA and operations disciplines. Increase reliability of FM systems. Expected outcomes are better estimation and control of FM complexity and development costs, improved FM designs, and accelerated advancement of FM tools and techniques. The approach of this subtopic is to seek the right balance between sufficient reliability and cost appropriate to the mission type and risk posture. Successful technology development efforts under this subtopic would be considered for follow-on funding by, and infusion into, SMD missions. Research should be conducted to demonstrate technical feasibility and NASA relevance during Phase I and show a path toward a Phase II prototype demonstration. Offerors should demonstrate awareness of the state-of-the-art of their proposed technology, and should leverage existing commercial capabilities and research efforts where appropriate. Specific technology in the forms listed below is needed to increase delivery of high quality FM systems. These approaches, architectures and tools must be consistent with and enable the NASA FM Handbook concepts and processes: FM Design Tools - System modeling and analyses significantly contributes to the quality of FM design; however, the time it takes to translate system design information into system models often decreases the value of the modeling and analysis results. Examples of enabling techniques and tools are modeling automation, spacecraft modeling libraries, expedited algorithm development, sensor placement analyses, and system model tool integration. FM Visualization Tools - FM systems incorporate hardware, software, and operations mechanisms. The ability to visualize the full FM system and the contribution of each mechanism to protecting mission functions and assets is critical to assessing the completeness and appropriateness of the FM design to the mission attributes (mission type, risk posture, operations concept, etc.). Fault trees and state transition diagrams are examples of visualization tools that could contribute to visualization of the full FM design. FM Verification and Validation Tools - As complexity of spacecraft and systems increases, the extensiveness of testing required to verify and validate FM implementations can be resource intensive. Automated test case development, false positive/false negative test tools, model verification and validation tools, and test coverage risk assessments are examples of contributing technologies. FM Design Architectures - FM capabilities may be implemented through numerous system, hardware, and software architecture solutions. The FM architecture trade space includes options such as embedded in the flight control software or independent onboard software; on board versus ground-based capabilities; centralized or distributed FM functions; sensor suite implications; integration of multiple FM techniques; innovative software FM architectures implemented on flight processors or on Field Programmable Gate Arrays (FPGAs); and execution in real-time or off-line analysis post-operations. Alternative architecture choices such as model-based approaches could help control FM system complexity and cost and could offer solutions to transparency, verifiability, and completeness challenges. Multi-discipline FM Interoperation - FM designers, Systems Engineering, Safety and Mission Assurance, and Operations perform analyses and assessments of reliabilities, failure modes and effects, sensor coverage, failure probabilities, anomaly detection and response, contingency operations, etc. The relationships between multi-discipline data and analyses are inconsistent and misinterpreted. Resources are expended either in effort to resolve disconnects in data and analyses or worse, reduced mission success due to failure modes that were overlooked. Solutions that address data integrity, identification of metrics, and standardization of data products, techniques and analyses will reduce cost and failures. Read less>>"," JPL, MSFC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,S4.05Contamination Control and Planetary Protection, JPL,"A need to develop technologies to implement Contamination Control and Planetary Protection requirements has emerged in recent years with increased interest in investigating bodies with the potential for life detection such as Europa, Enceladus, Mars, etc. and the potential for sample return from such bodies. Planetary Protection is concerned with both forward and backward contamination. Forward contamination is the transfer of viable organisms from Earth to another body. Backward contamination is the transfer of material posing a biological threat back to Earth's biosphere. NASA is seeking innovative technologies or applications of technologies to facilitate meeting portions of forward and backward contamination Planetary Protection requirements as well as analytical technologies that can ensure hardware and instrumentation can meet organic contamination requirements in an effort to preserve sample science integrity. For contamination control efforts, analytical technologies and techniques for quantifying submicron particle and organic contamination for validating surface cleaning methods are needed. In particular, capabilities for measuring Total Organic Carbon (TOC) at <<40 ppb or <<20 ng/cm2 on a surface and detection of particles <0.2 microns in size are being sought. In addition, techniques for detection of one or more of the following molecules and detection level are being needed: DNA (1 fmole). Dipicolinic acid (1 pg). N-acetylglucosamine (1 pg). Glycine and alanine (1 pg). Palmitic acid (1 pg). Sqalene (1 pg). Pristane (1pg). Chlorobenzene (<1 pg). Dichloromethane (<1 pg). Naphthalene (1 pg). For many missions, Planetary Protection requirements are often implemented in part by processing hardware or potentially entire spacecraft with one or more sterilization processes. These processes are often incompatible with particular materials or components on the spacecraft and extensive effort is made to try to mitigate these issues. Innovative new or improved sterilization/re-sterilization processes are being sought for application to spacecraft hardware to increase effectiveness of reducing bio-load on spacecraft or increase process compatibility with hardware (e.g., toxicity to hardware, temperature, duration, etc.). Accepted processes currently include heat processing, gamma/electron beam irradiation, cold plasma, and vapor hydrogen peroxide. Options to improve materials and parts (e.g., sensors, seals, in particular, batteries, valves, and optical coatings) to be compatible with currently accepted processes, in particular heat tolerance, are needed. NASA is seeking novel technologies for preventing recontamination of sterilized components or spacecraft as a whole (e.g., biobarriers). In addition, active in-situ recontamination/decontamination approaches (e.g., in-situ heating of sample containers to drive off volatiles prior to sample collection) and in-situ sterilization approaches (e.g., UV or plasma) for surfaces are desired. Missions planning sample return from bodies such as Mars, Europa, and Enceladus are faced with developing technologies for sample return functions to assure containment of material from these bodies. Thus far, concepts have been developed specifically for Mars sample return but no end-to-end concepts have been developed that do not have technical challenges remaining in one or more areas. Options for sample canisters with seal(s) (e.g., brazing, explosive welding, soft) with sealing performed either on surface or in orbit and capability to verify seal(s), potentially by leak detection are needed. In addition, capability is needed for opening seals while maintaining sample integrity upon Earth return. These technologies need to be compatible with processes the materials may encounter over the lifecycle of the mission (e.g., high temperature heating). Containment assurance also requires technologies to break-the-chain of contact with the sampled body. Any native contamination on the returned sample container and/or Earth return vehicle must be either be fully contained, sterilized, or removed prior to return to Earth, therefore, technologies or concepts to mitigate this contamination are desired. Lightweight shielding technologies are also needed for meteoroid protection for the Earth entry vehicle and sample canister with capability to detect damage or breach to meet a 10-6 probability of loss of containment. Read less>>"," JPL, MSFC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,"S3.09Command, Data Handling, and Electronics", GSFC,"NASA's space based observatories, fly-by spacecraft, orbiters, landers, and robotic and sample return missions, require robust command and control capabilities. Advances in technologies relevant to command and data handling and instrument electronics are sought to support NASA's goals and several missions and projects under development. The 2016 subtopic goals are to develop platforms for the implementation of miniaturized highly integrated avionics and instrument electronics that: Are consistent with the performance requirements for NASA science missions. Minimize required mass/volume/power as well as development cost/schedule resources. Can operate reliably in the expected thermal and radiation environments. Successful proposal concepts should significantly advance the state-of-the-art. Proposals should clearly: State what the product is. Identify the needs it addresses. Identify the improvements over the current state of the art. Outline the feasibility of the technical and programmatic approach. Present how it could be infused into a NASA program. Furthermore, proposals developing hardware should indicate an understanding of the intended operating environment, including temperature and radiation. It should be noted that environmental requirements can vary significantly from mission to mission. For example, some low earth orbit missions have a total ionizing dose (TID) radiation requirement of less than 10 krad(Si), while some planetary missions can have requirements well in excess of 1 Mrad(Si). For descriptions of radiation effects in electronics, the proposer may visit (http://radhome.gsfc.nasa.gov/radhome/overview.htm). If a Phase II proposal is awarded, the combined Phase I and Phase II developments should produce a prototype that can be characterized by NASA. The technology priorities sought are listed below: Spaceflight Multicore Middleware - Current and emerging spaceflight processors are leveraging multi-core architectures to satisfy the ever increasing onboard processing demands. These architectures can provide increased processing bandwidth, power efficiency, and fault tolerance for onboard processing applications. However, these advantages come at the cost of increased hardware and software complexity. As software development is a major cost driver for missions, this increased complexity has the potential to significantly increase cost for future NASA missions. To address this risk, this subtopic solicits Spaceflight Multicore Middleware technology providing machine management for multicore processing devices. This middleware software layer shall primarily reside between the application layer and the operating system, with extensions into and below the OS as necessary, to provide intelligent resource, fault, and power management. By providing these functions, application software can be largely agnostic to underlying hardware, thereby reducing cost and complexity. It is desired that the middleware software support multiple processor architectures. Examples include, but not limited to, ARM, Freescale, Tilera, and LEON, and those that support a number of cores ranging from 2-32. Advanced Spaceflight Memory - As spaceflight processor technology advances to provide increased bandwidth, power efficiency, and flexibility, advanced spaceflight memory devices are needed to fully leverage these improvements. This subtopic solicits technologies enabling power efficient, high performance volatile spaceflight memory incorporating high speed, fault tolerant, serial interfaces, internal EDAC, power and fault management, and 2.5/3D manufacturing processes enabling implementation of miniaturized, highly-reliable fault tolerant systems. Point-of-Load Power Converters - Emerging spaceflight processors require multiple supply voltages, and multiple switched services for many of these voltages. Using currently available point-of-load power converters, an unacceptably large portion of future spaceflight computer boards will need to be dedicated for these devices. To address this concern, this subtopic solicits technologies enabling miniaturized spaceflight point-of-load power conversion and switching. Radiation Shielding - Innovative additive manufacturing and/or deposition technologies starting at TRL 3 are sought to create integral one-piece surface claddings of graded atomic number (Z) materials for use as radiation shielding for electronics. Shielding thicknesses must be able to achieve up to 3 g/cm2 for initial shielding applications. At the end of Phase I, delivery of layered slabs and/or half sphere samples is expected with areal densities from 1 -3 g/cm2; samples must be able to show a strong interface property to avoid delamination and consistent density and thickness (areal density) uniformity. This subtopic also solicits technologies enabling the use of COTS micropower/ultra-low power computing devices in highly reliable spacecraft avionics systems. Read less>>"," JPL, LaRC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,H6.03Spacecraft Autonomy and Space Mission Automation for Consumables, ARC,"Future human spaceflight missions will place crew’s at large distances and light-time delays from Earth, requiring novel capabilities for crews and ground to manage spacecraft consumables and renewables such as power, water, propellant and life support systems to prevent Loss of Mission (LOM) or Loss of Crew (LOC). This capability is necessary to reconfigure spacecraft, or replan missions, in response to events such as leaks or failures leading to unexpected expenditure of consumables coupled with lack of communications. If crews in the spacecraft must manage, plan and operate much of the mission themselves, NASA must migrate operations functionality from the flight control room to the vehicle for use by the crew. Migrating flight controller tools and procedures to the crew on-board the spacecraft would, even if technically possible, overburden the crew. Enabling these same monitoring, tracking, and management capabilities on-board the spacecraft for a small crew to use will require significant automation and decision support software. Required capabilities to enable future human spaceflight to distant destinations include: Enable on-board crew management of vehicle consumables that are currently flight controller responsibilities. Increase the onboard capability to detect and respond to unexpected consumables-management related events and faults without dependence on ground. Reduce up-front and recurring software costs to produce flight-critical software. Provide more efficient and cost effective ground based operations through automation of consumables management processes, and up-front and recurring mission operations software costs. Necessary capabilities include: Peer-to-peer mission operations planning. Mixed initiative planning systems. Elicitation of mission planning constraints and preferences. Planning system software integration. Space Vehicle System Automation. Autonomous rendezvous and docking software. Integrated discrete and continuous control software. Long-duration high-reliability autonomous system. Power aware computing. Power Systems Autonomous Control. Vehicle Systems Automation. Crew Situational Awareness of Vehicle Automation. Contingency Management. The emphasis of proposed efforts should focus primarily on software systems, but emphasize hardware and operating systems the proposed software will run on (e.g., processors, sensors), and proposals must demonstrate understanding of the consumables and dependent spacecraft systems that the software is intended to manage. Proposals may reference existing fault management techniques, but this subtopic does not solicit development of fault management capability; proposers interested in developing these capabilities are referred to the relevant H6 topic area (H6.04). While Verification, Validation and Requirements of autonomous systems is also an important area, this subtopic does not solicit development of these technologies, proposers interested in developing these capabilities are referred to the relevant H6 topic area (H6.02). Proposals must demonstrate mission operations cost reduction by use of standards, open source software, crew workload reduction, and/or decrease of software integration costs. Proposals must demonstrate autonomy software cost reduction by use of standards, demonstration of capability especially on long-duration missions, system integration, and/or open source software. Read less>>"," JPL, JSC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,H6.04Integrating ISHM with Flight Avionics Architectures for Cyber-Physical Space Systems, ARC,"This call for SBIR proposals is for technology development of integrated flight control systems for seamless integration of flight avionics with Integrated Systems Health Management (ISHM) systems. Flight avionics, with Integrated Modular Avionics (IMA) have well-defined Caution and Warning (CW) Fault Detection Isolation and Response (FDIR) alerting systems which in can in real-time detect, isolate and respond to single failures at a time. For each CW failure, a predefined mapping to a CW response procedure is defined. In this way when real time conditions occur, response can be almost immediate. However this approach suffers when more than one failure is present. Under multiple CW failures more than one CW response procedure is active. Which of the predefined procedures should you execute? A procedure execution deadlock can occur. Currently when procedure deadlock occurs a number of questions need to be addressed by flight/ground: At what step in each procedure should you execute first? Should procedure steps be removed /added? Should procedure steps be interleaved between procedures? Should an entirely new procedure by synthesized? The determination of how to proceed from procedure deadlock under multiple failure scenarios is critically dependent upon the correct multiple failure diagnosis of the situation. ISHM supports this determination due to the fact that ISHM can extend traditional CW FDIR systems to utilize a systems view of the spacecraft which leverages all (or most) of the available sensors and command talk-back information. Whereas traditional CW FDIR logic are often small fragments of logic and code which utilize subsets of the sensors, and in general have no knowledge and/or context of the other FDIR algorithms, a global view allows for a global response but also brings additional challenges of determining that the data from all the sensors is consistent. It is also important to recognize that failure signatures/ propagation/fault masking can be the result of not only hardware but also the interaction of the myriad control loops and procedural behavior that is induced by the flight avionics. Another key aspect is to perform interpretation of fault data in the context of mission operations, and subsequent fault recovery consistent with current mission goals. Additional challenges are also to devise methods to automatically develop the ISHM fault models from system descriptions such as the schematics, procedures, etc. To date however seamless integration of ISHM systems with flight avionics CW FDIR systems has not matured to the level such that ISHM systems are trusted to support flight avionics systems in multiple failure high stress situations such as CW storms. Prior human-rated approaches have been proposed but not baselined for similar functional situations in both the Space Shuttle domain (Enhanced Caution and Warning (ECW) as part of the Cockpit Avionics Upgrade (CAU) program) as well as the International Space Station domain (ISS 24-hour autonomy mode). The challenge is to extend the lessons learned from these efforts to achieve program insertion. Such efforts will support both crewed as well as robotic missions, both near Earth as well as deep space missions. Support will be enabled under a variety of conditions including where: Communication time with Earth is insufficient and/or delayed. Communication bandwidth is insufficient. The complexity of analysis is beyond human comprehension. The reliance on a skeleton crew requires additional computational support. Seamless integration can be defined through many dimensions. Several dimensions of interest are: Allow the operator the ability to select between a palette of ISHM modules. Allow the operator the ability to turn on/off the ISHM module. Real time support for flight avionics. At least one scenario should be defined which shows the operation of the flight avionics with and without ISHM. In order to demonstrate a technology solution, proposed work should include as baseline, a representative set of hypothetical CW events, a FDIR procedure response for each CW event, and one or more scenarios where, with multiple CW events across subsystems, the set of applicable FDIR procedures deadlocks. The proposed work should then demonstrate how the procedure deadlock is resolved through the proposed technology solution which integrates ISHM with the flight avionics. Read less>>"," JPL, JSC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,H6.02Requirements Management for Spacecraft Autonomy and Space Mission Automation, ARC,"System and software requirements for autonomy have been difficult to define and test due to uncertainties in the environment in which autonomous systems might be deployed, the flexible yet safe interaction with in-situ humans that is needed, and the adaptability needed from an autonomous system for novel situations. Future human spaceflight missions will place crews and other assets at large distances and light-time delays from Earth that will need to act autonomously from mission control over significant time intervals in both nominal and emergency situations. Space missions have small crew sizes, and many mission concepts involve spacecraft and habitats that are only intermittently crewed, so automation through software will be a major portion of autonomous systems. Proposals are solicited that provide novel methods and tools specifically targeted to defining and testing requirements for autonomy capabilities, including the definition of interactions and roles with in-situ humans. Proposals should encompass a subset of the following: methods and tools for autonomy requirement definition, refinement, verification of internal consistency, validation, and testing during subsequent development. Proposals should compare their proposed methods and tools to conventional requirements management, and indicate why their methods and tools will result in requirements for autonomy with less ambiguity, fewer conflicts between different requirements, and more testable requirements - as compared to state of the art requirements methods. Proposals should provide metrics for measuring the quality of autonomy requirements resulting from their methods and tools compared to SOA. For example, in the aircraft industry today over half of system development errors originate during the requirements phase, while over 75% of system development errors are caught very late in development - typically in late phases of testing. This leads to high costs and development schedule overruns due to rework. Proposers should ground their proposed research by demonstrating methods and tools on plausible design reference missions involving autonomy. Proposals should indicate how their methods and tools will bridge the gap between requirements definition and requirements-based testing, potentially including semi-automatic test generation suitable for the autonomy attributes of flexible response in uncertain environments with uncertain situations. Proposals can draw upon a wide range of methods, including but not limited to ontology definition, uncertainty quantification, formal approaches to requirements engineering, symbolic methods for test generation from requirements, and techniques for requirements elicitation from stakeholders. Proposals that involve natural language as a medium for autonomy system and software requirements definition should describe how the natural language will be disambiguated in subsequent phases of system development. Read less>>"," JPL, JSC"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.6 Autonomous Rendezvous and Docking,S4.03Spacecraft Technology for Sample Return Missions, JPL,"NASA plans to perform sample return missions from a variety of scientifically important targets including Mars, small bodies such as asteroids and comets, and outer planet moons. These types of targets present a variety of spacecraft technology challenges. Some targets, such as Mars and some moons, have relatively large gravity wells and will require ascent propulsion. Includes propellants that are transported along with the mission or propellants that can be generated using local resources. Other targets are small bodies with very complex geography and very little gravity, which present difficult navigational and maneuvering challenges. In addition, the spacecraft will be subject to extreme environmental conditions including low temperatures (-270°C), dust, and ice particles. Technology innovations should either enhance vehicle capabilities (e.g., increase performance, decrease risk, and improve environmental operational margins) or ease sample return mission implementation (e.g., reduce size, mass, power, cost, increase reliability, or increase autonomy). Read less>>", GRC
TA5 Communication and Navigation,TA5.1 Optical Comm. And Navigation,S3.08Slow and Fast Light, MSFC,"Steep dispersions in engineered media of a wide variety have opened up a new direction of research in optics. A positive dispersion can be used to slow the propagation of optical pulses to extremely small velocities. Similarly, a negative dispersion can lead to conditions where pulses propagate superluminally. These effects have now moved beyond the stage of intellectual curiosity, and have ushered in studies of a set of exciting applications of interest to NASA, ranging from ultraprecise superluminal gyroscopes to spectral interferometers having enhanced resolving power. This research subtopic seeks slow-light and/or fast-light enhanced sensors for space applications of interest to NASA including: Superluminal gyroscopes and accelerometers (both passive and active) Enhanced strain and displacement sensors for non-destructive evaluation and integrated vehicle health management applications. Slow-light-enhanced spectrally-resolved interferometers for astrophysical and Earth science observations, as well as for exploration goals. Other applications of slow and fast light related to NASA’s mission areas. Superluminal gyroscopes In conventional ring laser gyroscopes, sensitivity increases with cavity size. Fast light, however, can be used to increase gyro sensitivity without having to increase size, for spacecraft navigation systems which are constrained by weight and volume. The increased sensitivity also opens up new science possibilities such as detection of subsurface geological features, tests of Lorentz invariance, improving the bandwidth sensitivity product for gravity wave detection, and tests of general relativity. This research subtopic seeks: Prototype fast light gyroscopes, active or passive, that unambiguously demonstrate a scale factor enhancement of at least 10 with the potential for 1000. The minimum or quantum-noise limited angular random walk (ARW) should also decrease. Designs for fast light gyros that do not require frequency locking, are not limited to operation at specific frequencies such as atomic or material resonances, and permit operation at any wavelength. Fast light gyroscope designs that are rugged, compact, monolithic, rad-hard, and tolerant to variations in temperature and varying G-conditions. Slow-light enhanced spectral interferometers Slow light has the potential to increase the resolving power of spectral interferometers such as Fourier transform spectrometers (FTS) for astrophysical applications without increasing their size. Mariner, Voyager, and Cassini all used FTS instruments for applications such as mapping atmospheres and examining ring compositions. The niche for FTS is usually thought to be for large wavelength (IR and beyond), wide-field, moderate spectral resolution instruments. Slow light, however, could help boost FTS spectral resolution making FTS instruments more competitive with grating-based instruments, and opening up application areas not previously thought to be accessible to FTS instruments, such as exoplanet detection. A slow-light FTS could also be hyper-spectral, providing imaging capability. FTS instruments have been employed for remote sensing on NASA Earth Science missions, such as the Atmospheric Trace Molecule Spectroscopy (ATMOS), Cross-track Infrared Sounder (CrIS), and Tropospheric Emission Spectrometer (TES) experiments, and have long been considered for geostationary imaging of atmospheric greenhouse gases. This research subtopic seeks research and development of slow-light-enhanced spectral interferometers that are not restricted by material resonances and can operate at any wavelength. An inherent advantage of FTS systems are their wide bandwidth. It will therefore of importance to develop slow light FTS systems that can maintain a large operating bandwidth. Read less>>",
