Focus Area Code,Subtopic code,Subtopic name
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Component Systems; Optics Manufacturing and Metrology for Telescope Optical Surfaces
Topic S3,S3.01; S3.02; S3.03; S3.04; S3.05; S3.06; S3.07; S3.08,"Command, Data Handling, and Electronics; Thermal Control Systems; Power Generation and Conversion; Propulsion Systems; Power Electronics and Management, and Energy Storage; Guidance, Navigation and Control; Terrestrial and Planetary Balloons; Unmanned Aircraft and Sounding Rocket Technologies"
Topic S4,S4.01,Unique Mission Architectures Using Small Spacecraft
Topic S5,S5.01; S5.02; S5.03; S5.04; S5.05; S5.06,"Planetary Entry, Descent and Landing Technology; Sample Collection, Processing, and Handling; Surface and Subsurface Robotic Exploration; Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; Planetary Protection"
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05,"Technologies for Large-Scale Numerical Simulation; Earth Science Applied Research and Decision Support; Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments; Integrated Mission Modeling for Opto-mechanical Systems; Fault Management Technologies"
Topic X1,X1.01,"In-Situ Resource Characterization, Extraction, Transfer, and Processing"
Topic X2,X2.01; X2.02; X2.03,Low Cost Heavy Lift Propulsion; High Thrust In-Space Propulsion; Electric Propulsion Systems
Topic X3,X3.01; X3.02; X3.03; X3.04,Enabling Technologies for Biological Life Support; Crew Accommodations and Waste Processing for Long Duration Missions; Environmental Monitoring and Fire Protection for Spacecraft Autonomy; Spacecraft Cabin Ventilation and Thermal Control
Topic X4,X4.01; X4.02; X4.03,"Space Suit Pressure Garment and Airlock Technologies; Space Suit Life Support Systems; Space Suit Radio, Sensors, Displays, Cameras, and Audio"
Topic X5,X5.01; X5.02; X5.03,Expandable Structures; Advanced Fabrication and Manufacturing of Metallic and Polymer Matrix Composite Materials for Lightweight Structures; Spaceflight Structural Sensor Systems and NDE
Topic X6,X6.01; X6.02; X6.03,Spacecraft Autonomy and Space Mission Automation; Radiation Hardened/Tolerant and Low Temperature Electronics and Processors; Integrated System Health Management  for Flexible Exploration
Topic X7,X7.01; X7.02,Human Robotic Systems - Human Robot Interfaces; Human-Robotic Systems - Mobility Subsystems
Topic X8,X8.01; X8.02; X8.03; X8.04,Fuel Cells and Electrolyzers; Space-Rated Batteries; Space Nuclear Power Systems; Advanced Photovoltaic Systems
Topic X9,X9.01; X9.02,Ablative Thermal Protection Systems; Advanced Integrated Hypersonic Entry Systems
Topic X10,X10.01,Cryogenic Fluid Management Technologies
Topic X11,X11.01; X11.02,Radiation Shielding Materials Systems; Integrated Advanced Alert/Warning Systems for Solar Proton Events
Topic X12,X12.01; X12.02,Crew Exercise Systems; Portable Load Sensing Systems
Topic X13,X13.01; X13.02,Smart Phone Driven Blood-Based Diagnostics; Non-Wet Prep Electrodes
Topic X14,X14.01,Virtual Reality and World Technologies for Team Training Approaches
Topic X15,X15.01; X15.02,A New Technique for Automated Analyses of Raw Operational Videos; Advanced Food Technologies
Topic X16,X16.01,Radiation Measurement Technologies
Topic X17,X17.01,Alternative Methods for Ambient Preservation of Human Biological Samples During Extended Spaceflight and Planetary Operations
