Company Name,Experience With SBIR Program
"IERUS TECHNOLOGIES, INC",66
Mattek Corporation,66
"Illinoisrocstar, L.L.C.",65
"Guild Associates, Inc.",65
"TALARIA, INC.",65
"Advalue Photonics, Inc.",65
"Maxdem, Inc.",65
Sentient Science Corporation,65
VCOM3D INC,65
Deacon Research,65
"CENTER FOR REMOTE SENSING, INC.",64
"ABIOMED, INC.",64
COI Ceramics Inc,64
"Aerius Photonics, LLC.",64
INTERNATIONAL ELECTRONIC MACHINES CORP,64
Allcomp Inc.,63
"Karagozian &amp; Case, Inc.",63
"Northwest Research Associates, Inc.",63
Luminit LLC ,63
"SYNETICS, INC.",63
Paragon Space Development Corporation,63
"SEACOAST SCIENCE, INC.",63
"ALDERON BIOSCIENCES, INC.",63
"Defense Research Associates, Inc.",63
ABLELINK TECHNOLOGIES INC,63
"Biotex, Inc.",63
"VISTA PHOTONICS, INC.",63
MicroFab Technologies Inc,62
"Nuvotronics, LLC",62
"REVEO, INC.",62
XIA LLC,62
TANGLEWOOD RESEARCH INC,62
Reaction Engineering International,62
"MSNW, INC.",62
GLOYER-TAYLOR LABORATORIES INC,62
"ONCOGENE SCIENCE, INC.",62
Praxis,62
"PHYLONIX PHARMACEUTICALS, INC.",61
"CAMBRIDGE SCIENTIFIC, INC.",61
"X-Wave Innovations, Inc.",61
"PHOTON RESEARCH ASSOC., INC.",61
"AEROVIRONMENT, INC.",61
"HI-Z TECHNOLOGY, INC.",61
IRIS MEDIA INC,61
Florida Turbine Technologies Inc.,61
"T/J Technologies, Inc.",61
EXQUADRUM INC,61
"GMA INDUSTRIES, INC.",61
"Yankee Environmental Systems, Inc.",61
PROPORTIONAL TECHNOLOGIES INC,61
"Photonic Systems, Inc. ",60
"NanoScale Materials, Inc.",59
"METAL MATRIX CAST COMPOSITES, LLC (DBA M",59
"Arkansas Power Electronics International, Inc.",59
Kms Fusion Inc,59
"Apa Optics, Inc.",59
VEXTEC CORPORATION ,59
Aerosol Dynamics Inc.,59
"TeraMetrix, LLC",59
Applied EM Inc.,59
MAK TECHNOLOGIES,59
"Gird Systems, Inc.",59
"MP Technologies, LLC",59
Amethyst Research Incorporated,59
"QmagiQ, LLC",59
GLOBAL TECHNOLOGY CONNECTION INC,58
"Quantum Applied Science And Research, Inc.",58
"MESA PHOTONICS, LLC",58
Implant Sciences Corporation,58
UTILITY DEVELOPMENT CORP,58
"Niowave, Inc.",58
"United Silicon Carbide, Inc.",58
"ULTRA COMMUNICATIONS, INC.",58
"The Athena Group, Inc.",57
Metis Design Corporation,57
TECHNOLOGY INTERNATIONAL INCORPORATED OF VIRGINIA,57
"CONDUCTUS, INC.",57
"SYMBIOTECH, INC.",57
"Anacapa Sciences, Inc.",57
"OXFORD BIOMEDICAL RESEARCH, INC.",57
Applied Physical Sciences Corp.,57
"Innovative Defense Technologies, LLC",57
TETRAMER TECHNOLOGIES LLC,57
"AMBERGEN, INC",57
"ATMOSPHERIC &amp; ENVIRONMENTAL RESEARCH, INC.",57
nLight Photonics,56
"INNOSYS, INC.",56
Applied Research LLC,56
"Alabama Cryogenic Engineering, Inc.",56
"WESTERN RESEARCH COMPANY, INC.",56
"Deployable Space Systems, Inc.",56
"Invocon, Inc.",56
"BIOTRACES, INC.",56
"Systima Technologies, Inc.",56
"Aosense, Inc.",56
THERMOANALYTICS INC,56
ObjectVideo,56
"Vecna Technologies, Inc.",56
"Sentar, Inc.",56
"Advanced Energy Systems, Inc",55
"Electrical Geodesics, Inc. ",55
Tetra Corporation,55
National Recovery Technologies LLC,55
Signal Systems Corporation ,55
"APPLIED THIN FILMS, INC.",55
"FuelCell Energy, Inc.",55
"Polestar Technologies, Inc.",55
ELECTROSONICS MEDICAL INC,55
SYNKERA TECHNOLOGIES INC,54
"Broadata Communications, Inc.",54
"Xinetics, Inc.",54
Advanced Decision Systems,54
"Eikos, Inc.",54
PHASE SENSITIVE INNOVATIONS INC,54
"POLATOMIC, INC. ",54
LUCIGEN CORPORATION,54
"Kent Optronics, Inc.",54
Data Fusion Corporation,54
"Global Engineering and Materials, Inc.",54
"Innoflight, Inc. ",54
"APTEK, Inc.",54
"P2D, INC",54
"TIPD, LLC",54
k Technology Corporation,54
INFINIA CORPORATION,54
Hummingbird Precision Machine Co.,53
SENSIMETRICS CORP,53
"FLUOROCHEM, INC.",53
"3 Phoenix, Inc.",53
"AEROASTRO, INC.",53
"DULY RESEARCH, INC.",53
"Physics, Materials, and Applied Mathematics Research L.L.C.",53
"Keystone Synergistic Enterprises, LLC",53
RAM LABORATORIES ,53
Andro Computational Solutions LLC ,53
Systems &amp; Materials Research Corporation,53
FERMIONICS CORP.,53
Crystallume/edi,52
INRAD,52
ACREE TECHNOLOGIES INCORPORATED,52
"Veritay Technology, Inc.",52
ARCHIE MD INC.,52
Materials Systems Inc.,52
"Industrial Quality, Inc.",52
"Directed Vapor Technologies International, Inc.",52
CANDELA CORPORATION,52
Lasergenics Corporation,52
SANARIA INC.,52
"Sealandaire Technologies, Inc.",52
WRIGHT MATERIALS RESEARCH CO.,52
"Nano Terra, Inc. ",51
NANOPROBES INC,51
Edenspace Systems Corporation,51
"ATTOLLO ENGINEERING, LLC",51
Electro-optek Corp,51
KALSCOTT ENGINEERING INC,51
SCIENTIFIC RESEARCH CORP.,51
BOLDER BIOTECHNOLOGY INC,51
The Survice Engineering Company LLC,50
"NANOCOMPOSIX, INC.",50
"PACIFIC SCIENCE &amp; ENGINEERING GROUP, INC.",50
"BELTRAN, INC.",50
Millitech Corp.,50
RDA Inc.,50
"ADVENTIUM ENTERPRISES, LLC",50
BLAZETECH CORPORATION,50
GS ENGINEERING INC,50
ENSCO Inc,50
"Applied Radar, Inc. ",49
RINI TECHNOLOGIES INC,49
Eospace Inc. ,49
"Progenra, Inc",49
"Adroit Systems, Inc.",49
"Kapteyn-Murnane Laboratories, Inc.",49
"IPITEK, Inc.",49
Decision Science Associates,49
"Enig Associates, Inc.",49
"RadiaBeam Systems, LLC",49
ATLAS SCIENTIFIC,49
SIMMETRIX INC.,49
KTECH CORP.,49
"Scientific Solutions, Inc.",49
STERLING RESEARCH CORPORATION,49
Tao Of Systems Integration Inc,49
MAX POWER INC,49
Quantix Corp,49
"G. A. Tyler Associates, Inc. ",49
RadiaSoft LLC,48
Scientific Comput Assoc,48
"MESOSCRIBE TECHNOLOGIES, INC.",48
"LAMBDA SCIENCE, INC.",48
"BlueRISC, Inc.",48
"Q-CHEM, INC.",48
"IMMUNOMEDICS, INC.",48
Media and Process Technology Inc.,48
Molecular Express Inc ,48
"QUINSTAR TECHNOLOGY, INCORPORATED",48
"NORTHWEST MEDIA, INC",48
"ACTA, LLC",48
"GALOIS, INC.",48
"OPTIPRO SYSTEMS, LLC",48
"Dynamic Structures And Materials, LLC",48
Kopin Corporation,48
"Bodkin Design &amp; Engineering, LLC ",48
"BIO-IMAGING RESEARCH, INC.",48
"Envirogen, Inc.",47
STRATAGENE,47
"WW TECHNOLOGY GROUP, INC",47
"Advanced Projects Research, Incorporated",47
Minnesota HealthSolutions Corporation,47
"Ceramic Composites, Inc.",47
"NEW SPAN OPTO-TECHNOLOGY, INC.",47
Operational Techologies Corporation,47
STARFIRE INDUSTRIES LLC,47
Materials Technologies Corporation,47
"ICET, INC",47
"Atmospheric &amp; Space Technology Research Associates, L.L.C.",47
SAFE INC,47
"Martin Defense Group, LLC",47
"KCF TECHNOLOGIES, INC.",47
LSA,46
Odetics Inc.,46
"Applied Optimization, Inc",46
ALPHASTAR TECHNOLOGY SOLUTIONS LLC,46
"Voss Scientific, LLC",46
Metamagnetics Inc.,46
NanoSciences Corporation/NanoSystems Inc,46
Epsilon Lambda Electronics Corp.,46
"Aegis Technology, Inc.",46
"EMERGENT SPACE TECHNOLOGIES, INC.",46
"Quest Integrated, LLC",46
DCS CORP.,45
Piasecki Aircraft Corporation,45
MIRUS BIO CORPORATION,45
"FBS, Inc.",45
"ASTRALUX, INC.",45
"CASCADE TECHNOLOGIES, INC.",45
"UQM Technologies, Inc.",45
"Aguila Technologies, Inc.",45
"Mentis Sciences, Inc.",45
"Nova Research, Inc. DBA Nova Sensors",45
"Azure Summit Technology, Inc.",45
"PROPAGATION RESEARCH ASSOCIATES, INC.",45
UNIVERSAL DISPLAY CORPORATION,45
Microelectronics Research Development Corporation,45
"Bridger Photonics, Inc.",45
Image Acoustics Inc,44
Energid Technologies Corporation ,44
Novawave Technologies,44
"ECHELON BIOSCIENCES, INC.",44
Space Computer Corporation,44
Rocky Research,44
"Infinite Biomedical Technologies, LLC",44
Phoenix Science &amp; Technology,44
MARTEK BIOSCIENCE CORPORATION,44
"CONTINENTAL CONTROLS AND DESIGN, INC.",44
OMNITEK PARTNERS LLC,44
"NEW ENGLAND BIOLABS, INC.",44
"Advanced Optical Systems, Inc",44
"RESEARCH SUPPORT INSTRUMENTS, INC.",44
"NEOCERA, LLC",44
Charles Evans &amp; Associates,44
"LICKENBROCK TECHNOLOGIES, INC.",44
APHIOS CORPORATION,44
"Silvus Technologies, Inc. ",44
"GCAS, Inc.",44
"PROGENICS PHARMACEUTICALS, INC.",44
"SUPERCONDUCTOR TECHNOLOGIES, INC.",44
"ACTUATED MEDICAL, INC.",44
Aerometrics Inc.,43
"PHYSICAL RESEARCH, INC.",43
"Mustang Technology Group, L.P.",43
"Roccor, LLC",43
"ADVANCED BRAIN MONITORING, INC.",43
"3TEX, Inc.",43
SYNTONICS LLC,43
VIRTUALLY BETTER INC,43
"KLEIN BUENDEL, INC",43
EMCORE CORP.,43
Advanced Technology And Research Corporation,43
"CCVD, Inc dba MicroCoating Technologies (MCT)",43
"SIMQUEST INTERNATIONAL, LLC ",43
"UHV TECHNOLOGIES, INC.",43
"Innovation Research And Training, Inc.",43
Sinmat Inc,42
"C-MOTION, INC.",42
Dna Plant Technologi,42
Litron Laboratories Ltd ,42
OPTICOMP CORP.,42
"IA, Inc.",42
Integrated Systems I,42
"Crystal Systems, Inc.",42
IM SYSTEMS,42
HY-Tech Research Corp.,42
Technova Corporation,42
E-tek Dynamics Inc.,42
"SOHAR, INC.",42
"Electrochem, Inc.",42
"REAL-TIME ANALYZERS, INCORPORATED",42
INTELLIGENT AUTOMATION CORP.,42
MARITIME APPLIED PHYSICS CORPORATION,42
Anvik Corporation,42
GENESIC SEMICONDUCTOR INC.,41
"Scalable Network Technologies, Inc.",41
JET PROCESS CORP,41
"Transcendent International, LLC",41
Seashell Technology LLC,41
GLSynthesis Inc.,41
"DAKOTA TECHNOLOGIES, INC.",41
"Stratton Park Engineering Co., Inc.",41
TAU TECHNOLOGIES LLC,41
ONTAR CORP.,41
STAR CRYOELECTRONICS LLC,41
"UTRON, Inc.",41
"Torch Technologies, Inc.",41
"INTEGRAL MOLECULAR, INC",41
Applied Biomathematics Inc,41
"Gumbs Associates, Inc.",41
"Epicypher, Inc.",41
Boston Engineering Corporation,41
REMCOM INC,41
SOCIAL SCIENCES INNOVATIONS CORPORATION,41
Innovative Technology Inc,41
"VANGUARD SPACE TECHNOLOGIES, INC",41
"Medical Decision Logic, Inc.",41
"DOTY SCIENTIFIC, INC.",41
NOVA SCIENTIFIC INCORPORATED,41
BIHRLE APPLIED RESEARCH INC.,41
"United Dynamics, Inc.",41
Ashwin-Ushas Corporation ,41
"Optimax Systems, Inc.",41
"BFE Acquisition Sub II, LLC",41
"TECHNICAL SOLUTIONS, INC.",40
ABTECH CORPORATION,40
"OPTICS 1, INC.",40
"Pharad, LLC",40
"Metacomp Technologies, Inc.",40
Technology In Blacksburg Inc,40
"California Biotechnology, Inc.",40
"VIRGINIA DIODES, INC.",40
Stratatech Corporation,40
Brewer Science Incorporated,40
"MTL SYSTEMS, INC.",40
"Coherent Logix, Incorporated",40
"Exelus, Inc.",40
Microwave Monolithics Inc.,40
"NATIONAL HEALTH PROMOTION ASSOCIATES, INC",40
"ASPEN PRODUCTS GROUP, INC.",40
En&#039;urga Inc. ,40
"Somagenics, Inc.",40
Matsys Incorporated ,40
"3E TECHNOLOGIES INTERNATIONAL, INC.",40
"CELDARA MEDICAL, LLC",40
"LNK CORP., INC.",40
ENGENIUSMICRO LLC,40
BioSensics LLC,39
"FARR RESEARCH, INC.",39
Inbios International Inc,39
"Webcore Technologies, Inc.",39
BENEFICIAL DESIGNS INC,39
Dyna East Corp.,39
"Helios Remote Sensing Systems, Inc.",39
"Kosan Biosciences, Inc.",39
"INCOM, INC.",39
BRIMROSE TECHNOLOGY CORPORATION,39
"REFRACTORY COMPOSITES, INC.",39
LI Creative Technologies Inc.,39
"BIO-ANALYTICS, INC.",39
"Neurocrine Biosciences, Inc.",39
Ocean Nanotech LLC,38
Crossfield Technology Llc,38
"SA Technologies, Inc.",38
KESTREL TECHNOLOGY LLC,38
BOSTON FUSION CORP,38
"BARLOW SCIENTIFIC, INC.",38
MATRIX RESEARCH INC,38
"TSRL, INC.",38
"Advanced Mechanical Technology, Inc.",38
CYTEL SOFTWARE CORPORATION,38
High Technology Corporation,38
"Active Signal Technologies, Inc.",38
"Microbrightfield, LLC",38
"SYTRONICS, INC.",38
"Ormond, LLC",38
Intelligent Hearing Systems Corp.,38
"Fractal Systems, Inc.",38
Dzyne Technologies Incorporated,38
"JRM Enterprises, Inc.",38
"Tier 1 Performance Solutions, LLC",38
Innovative Design Labs Inc.,38
ISX CORP.,38
EMPIRICAL TECHNOLOGIES CORPORATION,38
"TRANSLUME, INC.",38
"SciTec, Inc.",38
AZ Technology Inc,38
"Scientific Monitoring, Inc.",38
"AVYD DEVICES, INC.",38
"Signal Processing, Inc.",38
"TrellisWare Technologies, Inc.",38
"ELECTRONIC BIOSCIENCES, INC.",38
"VIGYAN, INC.",38
"Magnolia Optical Technologies, Inc.",38
"Mobile Energy Products, Inc.",38
Tai-Yang Research Company,38
Gvd Corporation,37
"FIRST POINT SCIENTIFIC, INC.",37
COGNOSCI INC,37
TIME DOMAIN CORP.,37
MORGAN RESEARCH CORP.,37
"Echo Ridge, LLC",37
"Anthrotronix, Inc.",37
SHARED SPECTRUM COMPANY,37
"Lake Shore Cryotronics, Inc.",37
"Coldquanta, Inc.",37
Stellar Science Ltd. Co. ,37
"Monterey Technologies, Inc.",37
"HEALTHMARK MULTIMEDIA, LLC",37
Analatom Inc,37
"ANATRACE, INC.",37
Fetch Technologies,37
XEMED LLC,37
"Innoveering, LLC",37
LUXEL CORP,37
Princeton Satellite Systems Inc,37
ABRATECH CORPORATION,37
"Barrett Technology, LLC",37
Boston Micromachines Corporation,37
Pikewerks Corporation,37
"TECHNOLOGY APPLICATIONS, INC.",37
"Mound Laser &amp; Photonics Center, Inc.",37
"M.L. ENERGIA, INC.",37
"Tietronix Software, Inc.",37
"SimVentions, Inc.",37
"COMBUSTION SCIENCE &amp; ENGINEERING, INC.",36
"ION OPTICS, INC.",36
