Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
TA7 Human Exploration Destination Systems,TA7.1 In-Situ Resource Utilization,,H1.01In situ Resource Utilization - Production of Feedstock for Manufacturing and Construction,H1.01,In situ Resource Utilization - Production of Feedstock for Manufacturing and Construction
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1 Science Instruments,,S2.02Precision Deployable Optical Structures and Metrology; S2.01Proximity Glare Suppression for Astronomical Coronagraphy; S1.09Cryogenic Systems for Sensors and Detectors; S1.07Airborne Measurement Systems; S1.06In Situ Sensors and Sensor Systems for Lunar and Planetary Science; S1.08Surface & Sub-surface Measurement Systems,S2.02; S2.01; S1.09; S1.07; S1.06; S1.08,Precision Deployable Optical Structures and Metrology; Proximity Glare Suppression for Astronomical Coronagraphy; Cryogenic Systems for Sensors and Detectors; Airborne Measurement Systems; In Situ Sensors and Sensor Systems for Lunar and Planetary Science; Surface & Sub-surface Measurement Systems
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.2 Observations,,"S2.03Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; S2.04X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; S3.05Guidance, Navigation and Control",S2.03; S2.04; S3.05,"Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; Guidance, Navigation and Control"
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.3 Sensor Systems,,"S1.04Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.05Particles and Field Sensors and Instrument Enabling Technologies; S1.02Microwave Technologies for Remote Sensing; S1.03Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.01Lidar Remote Sensing Technologies; S3.04Unmanned Aircraft and Sounding Rocket Technologies; H3.01Environmental Monitoring",S1.04; S1.05; S1.02; S1.03; S1.01; S3.04; H3.01,"Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Microwave Technologies for Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Lidar Remote Sensing Technologies; Unmanned Aircraft and Sounding Rocket Technologies; Environmental Monitoring"
"TA9 Entry, Descent and Landing Systems",TA9.1 Aeroassist & Entry,,H7.02Diagnostic Tools for High Velocity Testing and Analysis; H7.01Ablative Thermal Protection Systems Technologies,H7.02; H7.01,Diagnostic Tools for High Velocity Testing and Analysis; Ablative Thermal Protection Systems Technologies
"TA9 Entry, Descent and Landing Systems",TA9.4 Vehicle Systems Technology,,"S4.01Planetary Entry, Descent and Landing and Small Body Proximity Operation Technology",S4.01,"Planetary Entry, Descent and Landing and Small Body Proximity Operation Technology"
TA10.2 Energy Generation and Storage,TA10.2.1 Energy Storage,,H8.04Advanced Next Generation Batteries,H8.04,Advanced Next Generation Batteries
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.1 Computing,,S5.01Technologies for Large-Scale Numerical Simulation,S5.01,Technologies for Large-Scale Numerical Simulation
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.2 Modeling,,A1.01Structural Efficiency - Aeroelasticity and Aeroservoelastic Control; A1.02Quiet Performance - Propulsion Noise Reduction Technology; A1.05Physics-Based Computational Tools - Stability and Control/High Lift Design Tools; S5.03Enabling NASA Science through Large-Scale Data Processing and Analysis; S5.04Integrated Science Mission Modeling,A1.01; A1.02; A1.05; S5.03; S5.04,Structural Efficiency - Aeroelasticity and Aeroservoelastic Control; Quiet Performance - Propulsion Noise Reduction Technology; Physics-Based Computational Tools - Stability and Control/High Lift Design Tools; Enabling NASA Science through Large-Scale Data Processing and Analysis; Integrated Science Mission Modeling
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.4 Information Processing,,S5.02Earth Science Applied Research and Decision Support,S5.02,Earth Science Applied Research and Decision Support
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.1 Materials,,H5.03Multifunctional Materials and Structures: Integrated Structural Health Monitoring for Long Duration Habitats; H13.02NDE Sensors; Z3.01Advanced Metallic Materials and Processes Innovation,H5.03; H13.02; Z3.01,Multifunctional Materials and Structures: Integrated Structural Health Monitoring for Long Duration Habitats; NDE Sensors; Advanced Metallic Materials and Processes Innovation
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.2 Structures,,H5.01Large Deployable Structures for Smallsats; H5.04In-Space Structural Assembly; H5.02Extreme Temperature Structures,H5.01; H5.04; H5.02,Large Deployable Structures for Smallsats; In-Space Structural Assembly; Extreme Temperature Structures
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.4 Manufacturing,,Z4.01Joining for Large-Scale Polymer Matrix Composite (PMC) Structures,Z4.01,Joining for Large-Scale Polymer Matrix Composite (PMC) Structures
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5 Cross-Cutting,,A2.01Flight Test and Measurements Technologies; H13.01NDE Simulation and Analysis,A2.01; H13.01,Flight Test and Measurements Technologies; NDE Simulation and Analysis
TA13 Ground and Launch Systems Processing,TA13.3 Technologies to Increase Reliability and Mission Availability,,H10.02Advanced Propulsion Systems Ground Test Technology; H10.01Improved Test and Launch Operations via Interface Design,H10.02; H10.01,Advanced Propulsion Systems Ground Test Technology; Improved Test and Launch Operations via Interface Design
TA14 Thermal Management Systems,TA14.2 Thermal Control Systems,,S3.07Thermal Control Systems; Z2.01Active Thermal Control Systems for Space Exploration,S3.07; Z2.01,Thermal Control Systems; Active Thermal Control Systems for Space Exploration
TA15 Aeronautics,TA15.1 Additional Subtopics,,A1.04Aerodynamic Efficiency - Active Flow Control Actuation Concepts; A1.06Vertical Lift - VL Measurement Techniques and Condition-Based Maintenance; A1.08Aeronautics Ground Test and Measurements Technologies; A1.09Vehicle Safety - Inflight Icing Hazard MitigationTechnology; A3.03Future Aviation Systems Safety; A3.02Autonomy of the National Airspace Systems (NAS); A3.01Advanced Air Traffic Management Systems Concepts,A1.04; A1.06; A1.08; A1.09; A3.03; A3.02; A3.01,Aerodynamic Efficiency - Active Flow Control Actuation Concepts; Vertical Lift - VL Measurement Techniques and Condition-Based Maintenance; Aeronautics Ground Test and Measurements Technologies; Vehicle Safety - Inflight Icing Hazard MitigationTechnology; Future Aviation Systems Safety; Autonomy of the National Airspace Systems (NAS); Advanced Air Traffic Management Systems Concepts
