Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
"TA9 Entry, Descent and Landing Systems",TA9.1 Aeroassist & Entry,,H7.01Advanced Thermal Protection Systems Technologies,H7.01,Advanced Thermal Protection Systems Technologies
"TA9 Entry, Descent and Landing Systems",TA9.4 Vehicle Systems Technology,,"S4.01Planetary Entry, Descent and Landing Technology",S4.01,"Planetary Entry, Descent and Landing Technology"
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.1 Computing,,S5.01Technologies for Large-Scale Numerical Simulation,S5.01,Technologies for Large-Scale Numerical Simulation
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.2 Modeling,,A3.02Quiet Performance; A3.05Physics-Based Conceptual Design Tools; Z1.04Modeling and Measurements for Propulsion and Power; S5.04Integrated Science Mission Modeling; S5.05Fault Management Technologies,A3.02; A3.05; Z1.04; S5.04; S5.05,Quiet Performance; Physics-Based Conceptual Design Tools; Modeling and Measurements for Propulsion and Power; Integrated Science Mission Modeling; Fault Management Technologies
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.4 Information Processing,,"A1.04Prognostics and Decision Making; A1.05Identification of Sequences of Atypical Occurrences in Massive Heterogeneous Datasets Representing the Operation of a System of Systems; S5.02Earth Science Applied Research and Decision Support; S5.03Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments",A1.04; A1.05; S5.02; S5.03,"Prognostics and Decision Making; Identification of Sequences of Atypical Occurrences in Massive Heterogeneous Datasets Representing the Operation of a System of Systems; Earth Science Applied Research and Decision Support; Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments"
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.1 Materials,,Z2.01Cross Cutting Advanced Manufacturing Process for Large Scale Bulk Metallic Glass Systems for Aerospace Applications; H5.04Hot Structures,Z2.01; H5.04,Cross Cutting Advanced Manufacturing Process for Large Scale Bulk Metallic Glass Systems for Aerospace Applications; Hot Structures
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.2 Structures,,A3.01Structural Efficiency-Aeroservoelasticity; H5.02Deployable Structures; H13.02Advanced Structural Health Monitoring,A3.01; H5.02; H13.02,Structural Efficiency-Aeroservoelasticity; Deployable Structures; Advanced Structural Health Monitoring
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.3 Mechanical Systems,,A3.04Aerodynamic Efficiency; A3.06Rotorcraft,A3.04; A3.06,Aerodynamic Efficiency; Rotorcraft
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.4 Manufacturing,,H5.01Additive Manufacturing of Lightweight Metallic Structures; H10.01Recycling/Reclamation of 3-D Printer Plastic for Reuse,H5.01; H10.01,Additive Manufacturing of Lightweight Metallic Structures; Recycling/Reclamation of 3-D Printer Plastic for Reuse
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5 Cross-Cutting,,A3.07Propulsion Efficiency - Propulsion Materials and Structures; H5.03Advanced Fabrication and Manufacturing of Polymer Matrix Composite (PMC) Structures; H13.01Advanced NDE Techniques for Complex Built Up Structures; S2.04Optics Manufacturing and Metrology for Telescope Optical Surfaces,A3.07; H5.03; H13.01; S2.04,Propulsion Efficiency - Propulsion Materials and Structures; Advanced Fabrication and Manufacturing of Polymer Matrix Composite (PMC) Structures; Advanced NDE Techniques for Complex Built Up Structures; Optics Manufacturing and Metrology for Telescope Optical Surfaces
TA14 Thermal Management Systems,TA14.2 Thermal Control Systems,,H3.01Thermal Control for Future Human Exploration Vehicles; S3.07Thermal Control Systems,H3.01; S3.07,Thermal Control for Future Human Exploration Vehicles; Thermal Control Systems
TA15 Aeronautics,TA15.1 Additional Subtopics,,A1.02Inflight Icing Hazard Mitigation Technology; A2.01Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Research; A4.01Ground Test Techniques and Measurement Technologies,A1.02; A2.01; A4.01,Inflight Icing Hazard Mitigation Technology; Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Research; Ground Test Techniques and Measurement Technologies
