Higher Topic,Focus Area Code,Focus Area name,Content
,Focus Area 11,Spacecraft and Platform Subsystems,"The Science Mission Directorate (SMD) will carry out the scientific exploration of our Earth, the planets, moons, comets, and asteroids of our solar system, and the universe beyond. SMD’s future direction will be moving away from exploratory missions (orbiters and flybys) into more detailed/specific exploration missions that are at or near the surface (landers, rovers, and sample returns) or at more optimal observation points in space. These future destinations will require new vantage points or would need to integrate or distribute capabilities across multiple assets. Future destinations will also be more challenging to get to, have more extreme environmental conditions and challenges once the spacecraft gets there, and may be a challenge to get a spacecraft or data back from. A major objective of the NASA science spacecraft and platform subsystems development efforts are to enable science measurement capabilities using smaller and lower cost spacecraft to meet multiple mission requirements thus making the best use of our limited resources. To accomplish this objective, NASA is seeking innovations to significantly improve spacecraft and platform subsystem capabilities while reducing the mass and cost that would in turn enable increased scientific return for future NASA missions. A spacecraft bus is made up of many subsystems such as: propulsion; thermal control; power and power distribution; attitude control; telemetry command and control; transmitters/antenna; computers/on-board processing/software; and structural elements. High performance space computing technologies are also included in this focus area. Science platforms of interest could include unmanned aerial vehicles, sounding rockets, or balloons that carry scientific instruments/payloads, to planetary ascent vehicles or Earth return vehicles that bring samples back to Earth for analysis. This topic area addresses the future needs in many of these sub-system areas, as well as their application to specific spacecraft and platform needs. For planetary missions, planetary protection requirements vary by planetary destination, and additional backward contamination requirements apply to hardware with the potential to return to Earth (e.g., as part of a sample return mission). Technologies intended for use at/around Mars, Europa (Jupiter), and Enceladus (Saturn) must be developed so as to ensure compliance with relevant planetary protection requirements. Constraints could include surface cleaning with alcohol or water, and/or sterilization treatments such as dry heat (approved specification in NPR 8020.12; exposure of hours at 115° C or higher, non-functioning); penetrating radiation (requirements not yet established); or vapor-phase hydrogen peroxide (specification pending). The National Academies’ Decadal Surveys for Astrophysics, Earth Science, Heliophysics, and Planetary Science discuss some of NASA’s science mission and technology needs and are available at https://sites.nationalacademies.org/SSB/SSB_052297(link is external). In addition, the Heliophysics roadmap “The Solar and Space Physics of a New Era: Recommended Roadmap for Science and Technology 2009­2030” is available at   http://hpde.gsfc.nasa.gov/2009_Roadmap.pdf."
,Focus Area 12,"Entry, Descent, and Landing Systems","The SBIR focus area of Entry, Descent and Landing (EDL) includes the suite of technologies for atmospheric entry as well as descent and landing on both atmospheric and non-atmospheric bodies. EDL mission segments are used in both robotic planetary science missions and human exploration missions beyond Low Earth Orbit, and many technologies have application to emerging commercial space capabilities such as lunar landing, low-cost space access, small spacecraft, and asset return.Robust, efficient, and predictable EDL systems fulfill the critical function of delivering payloads to lunar and planetary surfaces through challenging environments, within mass and cost constraints. Future NASA Artemis and planetary science missions will require new technologies to break through historical constraints on delivered mass, enable sustained human presence, or to go to entirely new planets and moons. Even where heritage systems exist, no two planetary missions are exactly “build-to-print,” leading to frequent challenges from environmental uncertainty, risk posture, and resource constraints that can be dramatically improved with investments in EDL technologies. EDL relies on validated models, ground tests, and sensor technologies for system development and certification. Both new capabilities and improved assessment and prediction of state-of-the-art systems are important facets of this focus area.The subtopics in this Focus Area have been renamed, this year, with the intent of more comprehensive coverage of the Entry, Descent, and Landing flight regimes, as well as ground and flight test and instrumentation areas. In future solicitations, the intent is to maintain these four subtopic titles, and to rotate the content within the subtopics as Agency needs and priorities change and as technologies are matured. The renamed subtopics and their overarching content descriptions are:Z7.01 Entry, Descent and Landing Flight Sensors and Instrumentation: Seeks sensors and components for precision landing and hazard detection, as well as heatshield instrumentation and other EDL flight systems diagnostics and electronicsZ7.03 Entry and Descent Systems Technologies: Contains hypersonic materials, aeroshell systems, and modeling advances, including deployable aeroshells for EDL and asset return and recovery. Includes smaller-scale systems appropriate for small spacecraft applications.Z7.04 Landing Systems Technologies: Covers landing engines, plume-surface interaction modeling, testing, and instrumentation, and landing attenuation systemsZ7.06 EDL Terrestrial Testing Technologies: Solicits for new diagnostic, characterization, and uncertainty quantification capabilities related to EDL-specific ground test facilities, including arcjets, wind tunnels, shock tubes, and ballistic rangesPlease refer to the subtopic write-ups for the specific content and scope solicited this year."
,Focus Area 13,Information Technologies for Science Data,"NASA Missions and Programs create a wealth of science data and information that are essential to understanding our earth, our solar system, and the universe. Advancements in information technology will allow many people within and beyond the Agency to more effectively analyze and apply these data and information to create knowledge. For example, modeling and simulation are being used more pervasively throughout NASA, for both engineering and science pursuits, than ever before. These tools allow high fidelity simulations of systems in environments that are difficult or impossible to create on Earth, allow removal of humans from experiments in dangerous situations, provide visualizations of datasets that are extremely large and complicated, and aid in the design of systems and missions. In many of these situations, assimilation of real data into a highly sophisticated physics model is needed. Information technology is also being used to allow better access to science data, more effective and robust tools for analyzing and manipulating data, and better methods for collaboration between scientists or other interested parties. The desired end result is to see that NASA data and science information are used to generate the maximum possible impact to the nation: to advance scientific knowledge and technological capabilities, to inspire and motivate the nation's students and teachers, and to engage and educate the public."
,Focus Area 14,"On-orbit Servicing, Assembly, and Manufacturing (OSAM)","NASA is seeking technological innovations that will accelerate development and adoption of advanced serving, assembly and manufacturing technologies supporting a wide range of NASA Missions. In the area of on-orbit servicing, NASA is seeking technology developments related to end of robot arm force-torque sensors. Force torque sensors for robots are a major limiting factor in robot system designs on all of NASA's current robotic manipulator-based systems (including OSAM-1 and Mars Sample Return.) In the area of on-orbit assembly, NASA is seeking technology developments for trusted and certified-safe autonomous systems with machine intelligence and robotic capabilities of responding to both nominal and unexpected situations. In the area of on-orbit manufacturing, NASA is seeking technology developments centered around material joining technologies, large-scale additive manufacturing process developments and technologies focused on the ability to recycle and reuse metallic materials.  Cutting-edge servicing, assembly and manufacturing technologies offer the ability to dramatically increase performance and reduce the cost of NASA’s programs. The ability to improve cost, launch mass, system resiliency and extended life time by advancing technologies to enable large structures that can be deployed, assembled/constructed, reconfigured and serviced in-space or on planetary surfaces is also imperative to NASA’s Missions. Research should be conducted to demonstrate technical feasibility and prototype hardware development during Phase I and show a path toward Phase II hardware and software demonstration and delivering an engineering development unit for NASA testing at the completion of the Phase II that could be turned into a proof-of-concept system for flight demonstration. To understand the full technology needs and requests see the detailed topic and subtopic descriptions."
,Focus Area 15,"Materials, Materials Research, Structures, and Assembly","As NASA embarks on its mission for human exploration of the Moon as a step towards the human mission to Mars, taking full advantage of the potential offered by new and existing technologies will be critical to enable sustainable Lunar and Mars presence. The Advanced Manufacturing, Materials Research, Structures and NDE focus area seeks to address challenges such as lowering the cost of exploration, changing structural design paradigms to take advantage of advanced materials, enabling efficient, reliable operations on-surface and capitalizing on capabilities provided by sensor integration.  Improvement in all of these areas is critical to future missions. Since this focus area covers a broad area of interests, specific topics and subtopics are chosen to enhance and or fill gaps in the space and exploration technology development programs, as well as to complement other mission directorate manufacturing, structures, materials and NDE needs."
,Focus Area 16,Ground & Launch Processing,"Ground processing technology development prepares the agency to test, process and launch the next generation of rockets and spacecraft in support of NASA's exploration objectives by developing the necessary ground systems, infrastructure and operational approaches for terrestrial and off-planet surface systems.This topic seeks innovative concepts and solutions for both addressing long-term ground processing and test complex operational challenges and driving down the cost of government and commercial access to space. Technology infusion and optimization of existing and future operational programs, while concurrently maintaining continued operations, are paramount for cost effectiveness, safety assurance, and supportability.A key aspect of NASA's approach to long term sustainability and affordability is to make test, processing and launch infrastructure available to commercial and other government entities, thereby distributing the fixed cost burden among multiple users and reducing the cost of access to space for the United States.Unlike previous work focusing on a single kind of launch vehicle such as the Saturn V rocket or the Space Shuttle, NASA is preparing common infrastructure to support several different kinds of spacecraft and rockets that are in development. Products and systems devised at a NASA center could be used at other launch sites on earth and eventually on other planets or moons.Specific emphasis to substantially reduce the costs and improve safety/reliability of NASA's test and launch operations includes development of ground test and launch environment technology components, system level ground test systems for advanced propulsion, autonomous control technologies for fault detection, isolation, and recovery, including autonomous propellant management, and advanced instrumentation technologies including Intelligent wireless sensor systems."
,Focus Area 17,Thermal Management Systems,"From the smallest satellite to the most complicated human rated spacecraft, thermal is seen as an enabling function to a vehicle. Temperatures must be maintained within design limits, whether those be cryogenic systems for science instruments, or comfortable shirt sleeve operations temperatures for crew missions. As missions evolve and waste energy rejection becomes more of a demand, NASA seeks components for both active and passive thermal systems. Such components complete the thermal cycle which includes waste energy acquisition, transport, rejection/storage, and insulation. The intended goal for any advanced thermal development is to enable new mission concepts while maintaining minimal impact to thermal system mass, volume, and power to maintain a spacecraft at specific temperature limits."
,Focus Area 18,Air Vehicle Technology,"This focus area includes tools and technologies that contribute to both the Advanced Air Vehicles Program (AAVP) and the Transformative Aeronautics Concepts Program (TACP) encompassing technologies in all six Strategic Thrusts within the NASA Aeronautics Mission Directorate (ARMD). AAVP studies, evaluates, and develops technologies and capabilities for new aircraft systems, and also explores far-future concepts that hold promise for revolutionary air-travel improvements. Innovative AAVP design concepts for advanced vehicles integrate technologies focus on fuel burn, noise, emissions, and intrinsic safety. The goal: to enable new aircraft to fly safer, faster, cleaner, quieter, and use fuel far more efficiently. Partnering with industry, academia, and other government agencies, AAVP pursues mutually beneficial collaborations to leverage opportunities for effective technology transition. TACP encourages revolutionary concepts, creates the environment for researchers to experiment with new ideas, performs ground and small-scale flight tests, and drives rapid turnover into potential future concepts to enable aviation transformation. Research is organized to aggressively engage both the traditional aeronautics community and non-traditional partners. Although TACP focuses on sharply focused studies, the program provides flexibility for innovators to assess new-technology feasibility and provide the knowledge base for radical aeronautics advances in noise reduction technology."
,Focus Area 19,Integrated Flight Systems,"This focus area includes technologies that contribute to the Integrated Aviation Systems Program's (IASP) objectives. IASP conducts flight-oriented, system-level research and technology development to effectively mature and transition advanced aeronautic technologies into future air vehicles and operational systems, including urban air mobility. IASP focuses on the rigorous execution of highly complex flight tests and related experiments to support all phases of NASA’s aeronautics research."
,Focus Area 20,Airspace Operations and Safety,"This focus area includes technologies addressing both the Airspace Operations and Safety Program (AOSP), and NASA's ARMD Strategic Thrusts 1, 5, and 6. AOSP is targeting system-wide operational benefits of high impact for NextGen and beyond, both in the areas of airspace operations and safety management. The SBIR Airspace Operations and Safety Topic is focused on research and technology development for enabling a modernized air transportation system that will achieve much greater capacity and operational efficiency while maintaining or improving safety and other performance measures. This will include the integration of new types of vehicles such as unmanned vehicles, advanced subsonic aircraft, supersonic or commercial space vehicles; new types of business models or operations (i.e., urban air mobility); and new architectures or services for enabling these operations within the NAS."
