Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Adaptive Flight Control,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.04,,,
Adaptive Structural Mode Suppression,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.10,,,
Additive Manufacturing for Adsorbent Bed Fabrication,,Focus Area 6 Life Support and Habitation Systems; H3.05,,,,,,,,,,,,,,,,
Additive Manufacturing of Lightweight Metallic Structures,,,,,,,,,TA12.4 Manufacturing; H5.01,,,,,,,,,
Advanced Acoustic Monitoring Technologies,,,,,,,,,,,,Topic O3 Processing and Operations; O3.06,,,,,,
Advanced Air Mobility (AAM) Integration,Focus Area 19 Integrated Flight Systems; A2.03,Focus Area 19 Integrated Flight Systems; A2.03,,,,,,,,,,,,,,,,
Advanced Air Traffic Management System Concepts,Focus Area 20 Airspace Operations and Safety; A3.01,Focus Area 20 Airspace Operations and Safety; A3.01,Focus Area 20 Airspace Operations and Safety; A3.01,Focus Area 20 Airspace Operations and Safety; A3.01,,,,,,,,,,,,,,
Advanced Air Traffic Management Systems Concepts,,,,,Focus Area 20 Airspace Operations and Safety; A3.01,Focus Area 20 Airspace Operations and Safety; A3.01,TA15.1 Additional Subtopics; A3.01,TA15.1 Additional Subtopics; A3.01,,,,,,,,,,
Advanced Avionics,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.06,,,
Advanced Bioreactor Development for In Situ Microbial Manufacturing,,,,,Focus Area 6 Life Support and Habitation Systems; T7.01,,,,,,,,,,,,,
Advanced Celestial Navigation Techniques and Systems for Deep-Space Applications,,,,,,,,,TA5.1 Optical Comm. And Navigation; H9.05,,,,,,,,,
Advanced Communication Technologies for Near-Earth Missions,,,,,,,,,,,,,,,,,,Topic E2 Platform Technologies for Earth Science; E2.03
Advanced Composite Materials,,,,,,,,,,,,,,, Materials and Mechanisms; X6.04,,,
Advanced Composite Tank and Materials Technologies,,,,,,,,,,,,Topic O2 Space Transportation; O2.04,,,,,,
 and Usage,,Focus Area 8 In-Situ Resource Utilization; T14.01,Focus Area 8 In-Situ Resource Utilization; T2.05,,,,,,,,,,,,,,,
Advanced Dynamic Testing Capability for Abnormal Flight Conditions,,,,,,,,,,,Topic A1 Aviation Safety; A1.10,,,,,,,
Advanced Educational Processes and Tools,,,,,,,,,,,,,,,,,,Topic E4 Applying Earth Science Measurements; E4.02
Advanced Environment Monitoring and Control,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.04,
Advanced Fabrication and Manufacturing of Metallic and Hybrid Materials for Lightweight Structures,,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.02,,,,,,
Advanced Fabrication and Manufacturing of Metallic and Polymer Matrix Composite Materials for Lightweight Structures,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.02,,,,,,,
Advanced Fabrication and Manufacturing of Polymer Matrix Composite (PMC) Structures,,,,,,,,,TA12.5 Cross-Cutting; H5.03,,,,,,,,,
Advanced Flexible Electronics,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.06,
Advanced Flexible Electronics and Nanosensors,,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Solar System; S4.03
Advanced Food Systems Technology,,,,,,,,,,Topic H12 Human Research and Health Maintenance; H12.04,,,,,,,,
Advanced Food Technologies,,,,,,,,,,,Topic X15 Space Human Factors and Food Systems; X15.02,Topic X14 Space Human Factors and Food Systems; X14.02,Topic X13 Space Human Factors and Food Systems; X13.03,Topic X12 Space Human Factors and Food Systems; X12.02,Topic X13 Space Human Factors and Food Systems; X13.02,,,
Advanced Food Technology,,,,,,,,,TA6.3 Human Health and Performance; H12.04,,,,,,,,,
Advanced Health Management for Aircraft Subsystems,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.07,,,
Advanced Integrated Hypersonic Entry Systems,,,,,,,,,,, and Landing (EDL) Technology; X9.02, and Landing (EDL) Technology; X9.02,Topic X9 Thermal Protection Systems; X9.02,,,,,
Advanced Life Support: Air and Thermal,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.01,
Advanced Life Support: Food Provisioning and Biomass,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.05,
Advanced Life Support: Water and Waste Processing,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.07,
Advanced Manufacturing and Material Development for Lightweight Metallic Structures,,,,,,,,,,Topic H5 Lightweight Spacecraft Materials and Structures; H5.02,,,,,,,,
Advanced Materials,,,,,,,,,,,,,,,,,Topic X2 Advanced Materials and Structural Concepts (AMSC); X2.01,
Advanced Materials and Manufacturing for In-Space Operations, and Assembly; Z4.07,,,,,,,,,,,,,,,,,
Advanced Metallic Materials and Processes Innovation,,,,Focus Area 14 In-Space and Advanced Manufacturing; Z3.01,Focus Area 14 In-Space and Advanced Manufacturing; Z3.01,Focus Area 14 In-Space and Advanced Manufacturing; Z3.02,TA12.1 Materials; Z3.01,TA12.5 Cross-Cutting; Z6.01,,,,,,,,,,
Advanced Model-based Adaptive Interfaces and Augmented Reality,,,,,,Focus Area 7 Human Research and Health Maintenance; H12.02,,,,,,,,,,,,
Advanced Motion Imaging,,,,,,,,,,,Topic O3 Processing and Operations; O3.05,Topic O3 Processing and Operations; O3.05,,,,,,
Advanced NDE Modeling and Analysis,,,,,,,,TA12.3 Mechanical Systems; H13.01,,,,,,,,,,
Advanced NDE Techniques for Complex Built Up Structures,,,,,,,,,TA12.5 Cross-Cutting; H13.01,,,,,,,,,
Advanced Next Generation Batteries,,,,,,,TA10.2.1 Energy Storage; H8.04,,,,,,,,,,,
Advanced Optical Component Systems,,,,,,,,,,Topic S2 Advanced Telescope Systems; S2.03,Topic S2 Advanced Telescope Systems; S2.04,Topic S2 Advanced Telescope Systems; S2.04,Topic S2 Advanced Telescope Systems; S2.04,,,,,
Advanced Optical Systems,,,,,,,,,TA8.1 Science Instruments; S2.03,,,,,,,,,
Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope,,,Focus Area 10 Advanced Telescope Technologies; S2.03,Focus Area 10 Advanced Telescope Technologies; S2.03,Focus Area 10 Advanced Telescope Technologies; S2.03,Focus Area 10 Advanced Telescope Technologies; S2.03,TA8.2 Observations; S2.03,TA8.1 Science Instruments; S2.03,,,,,,,,,,
Advanced Optical Systems and Fabrication/Testing/Control Technologies for Extended-Ultraviolet/Optical and Infrared Telescope,Focus Area 10 Advanced Telescope Technologies; S12.03,Focus Area 10 Advanced Telescope Technologies; S2.03,,,,,,,,,,,,,,,,
Advanced Photon Detectors,,,,,,,,,,,,,,,,,,Topic S2 Structure and Evolution of the Universe; S2.05
Advanced Photovoltaic Systems,,,,,,,TA3.1 Power Generation; H8.03,TA3.1 Power Generation; H8.03,TA3.1 Power Generation; Z1.01,Topic H8 High Efficiency Space Power Systems; H8.04,Topic X8 High-Efficiency Space Power Systems; X8.04,Topic X8 High-Efficiency Space Power Systems; X8.04,,,,,,
 and Distribution (PMAD) for High Power Space Exploration Applications,,,,,,,,,,,,Topic X8 High-Efficiency Space Power Systems; X8.05,,,,,,
Advanced Propulsion Systems Ground Test Technology,Focus Area 16 Ground & Launch Processing; H10.01,Focus Area 16 Ground & Launch Processing; H10.01,Focus Area 16 Ground & Launch Processing; H10.01,Focus Area 16 Ground & Launch Processing; H10.01,Focus Area 16 Ground & Launch Processing; H10.01,Focus Area 16 Ground & Launch Processing; H10.01,TA13.3 Technologies to Increase Reliability and Mission Availability; H10.02,,,,,,,,,,,
Advanced Propulsion Testing Technologies,,,,,,,,,,,Topic O2 Space Transportation; O2.05,,,,,,,
Advanced RF Communications,,,,,,Focus Area 5 Communications and Navigation; H9.04,,,,,,,,,,,,
Advanced Radiation Shielding Materials,,,,,,,,,,,,,,, Materials and Mechanisms; X6.03,,,
Advanced Radiation Shielding Materials and Structures,,,,,,,,,,,,, Materials and Mechanisms; X4.01, Materials and Mechanisms; X4.02,,,,
Advanced Space Battery Technology,,,,,,,,,TA3.2 Energy Storage; Z1.02,,,,,,,,,
Advanced Space Communication Systems,,,,,,,TA5.5 Integrated Technologies; H9.02,,,,,,,,,,,
Advanced Space Rated Batteries,,,,,,,,,,,,,Topic X7 Energy Generation and Storage; X7.01,,Topic X8 Energy Generation and Storage; X8.02,,,
Advanced Space Suit Portable Life Support System (PLSS),,,,,Focus Area 6 Life Support and Habitation Systems; H4.01,,,,,,,,,,,,,
Advanced Space-Rated Batteries,,,,,,,,,,,,Topic X8 High-Efficiency Space Power Systems; X8.02,,Topic X6 Energy Generation and Storage; X6.02,,,,
Advanced Structural Health Monitoring,,,,,,,,,TA12.2 Structures; H13.02,,,,,,,,,
Advanced Tank Technology Development,,,,,,,,,,,Topic O2 Space Transportation; O2.04,,,,,,,
Advanced Technologies for Atmosphere Revitalization,,,,,,,,,,Topic H3 Life Support and Habitation Systems; H3.01,,,,,,,,
Advanced Technologies for In-Space Electric Propulsion (EP),,,,Focus Area 1 In-Space Propulsion Technologies; T2.02,,,,,,,,,,,,,,
Advanced Technologies for Propulsion Testing,,,,,,,,,,Topic H2 Space Transportation; H2.03,,,,,,,,
Advanced Technology Telescope for Balloon Mission,,,,,,,,,,Topic E3 Science Mission Directorate Select Subtopics; E3.02,,,,,,,,
Advanced Technology Telescope for Balloon and Sub-Orbital Missions,,,,,,,,TA8.1 Science Instruments; S20.02,,,,,,,,,,
Advanced Thermal Protection Systems Technologies,,,,,,,,,TA9.1 Aeroassist & Entry; H7.01,,,,,,,,,
Advanced Upset Protection System,,,,,,,,,,,Topic A1 Aviation Safety; A1.13,,,,,,,
Advanced in-space propulsion,,,Focus Area 1 In-Space Propulsion Technologies; T2.04,,,,,,,,,,,,,,,
Advancements in Carbon Dioxide Reduction: Critical Subsystems and Solid Carbon Repurposing,,,Focus Area 6 Life Support and Habitation Systems; H3.01,,,,,,,,,,,,,,,
Advancements in Water and Air Bladder Assemblies and Technology,,Focus Area 6 Life Support and Habitation Systems; H4.05,,,,,,,,,,,,,,,,
Aero-Acoustics,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.03,Topic A2 Fundamental Aeronautics; A2.03,Topic A2 Fundamental Aeronautics; A2.03,Topic A2 Fundamental Aeronautics; A2.03,Topic A2 Fundamental Aeronautics; A2.03,Topic A2 Fundamental Aeronautics; A2.03,,
Aeroassist Systems,,,,,,,,,,,,,,,,,Topic X7 High Energy Space Systems (HESS); X7.04,
Aerodynamic Efficiency,,,,,,,,,TA12.3 Mechanical Systems; A3.04,,,,,,,,,
Aerodynamic Efficiency - Active Flow Control Actuation Concepts,,,,,,,TA15.1 Additional Subtopics; A1.04,,,,,,,,,,,
Aerodynamic Efficiency - Drag Reduction Technology,,,,,,,,,,Topic A3 Air Vehicle Technologies; A3.04,,,,,,,,
Aerodynamic Efficiency Drag Reduction Technology,,,,,,,,TA15.1 Additional Subtopics; A1.02,,,,,,,,,,
Aerodynamic Efficiency-Active Flow Control Actuators and Design Tools,,,,,,Focus Area 18 Air Vehicle Technology; A1.04,,,,,,,,,,,,
Aerodynamic and Structural Efficiency -  Integration of Flight Control with Aircraft Multidisciplinary Design Optimization,,,,Focus Area 18 Air Vehicle Technology; A1.01,,,,,,,,,,,,,,
Aerodynamic and Structural Efficiency - Integration of Flight Control with Aircraft Multidisciplinary Design Optimization,,Focus Area 18 Air Vehicle Technology; A1.01,,,,,,,,,,,,,,,,
Aerodynamics,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.05,Topic A2 Fundamental Aeronautics; A2.05,Topic A2 Fundamental Aeronautics; A2.05,Topic A2 Fundamental Aeronautics; A2.05,Topic A2 Fundamental Aeronautics; A2.05,Topic A2 Fundamental Aeronautics; A2.05,,
Aeroelasticity,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.04,Topic A2 Fundamental Aeronautics; A2.04,Topic A2 Fundamental Aeronautics; A2.04,Topic A2 Fundamental Aeronautics; A2.04,Topic A2 Fundamental Aeronautics; A2.04,Topic A2 Fundamental Aeronautics; A2.04,,
Aeroelasticity and Aeroservoelastic Control,Focus Area 18 Air Vehicle Technology; A1.01,,Focus Area 18 Air Vehicle Technology; A1.01,,,,,,,,,,,,,,,
Aeronautics Ground Test and Measurement Technologies,Focus Area 18 Air Vehicle Technology; A1.08,Focus Area 18 Air Vehicle Technology; A1.08,Focus Area 18 Air Vehicle Technology; A1.08,Focus Area 18 Air Vehicle Technology; A1.08,Focus Area 18 Air Vehicle Technology; A1.08,,,,,,,,,,,,,
Aeronautics Ground Test and Measurements Technologies,,,,,,Focus Area 18 Air Vehicle Technology; A1.08,TA15.1 Additional Subtopics; A1.08,,,,,,,,,,,
Aerothermodynamics,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.06,Topic A2 Fundamental Aeronautics; A2.06,Topic A2 Fundamental Aeronautics; A2.06,Topic A2 Fundamental Aeronautics; A2.06,Topic A2 Fundamental Aeronautics; A2.06,Topic A2 Fundamental Aeronautics; A2.06,,
Affordable Nano/Micro Launch Propulsion Stages,,,,,Focus Area 21 Small Spacecraft Technologies; T1.01,,,,,,,,,,,,,
Air Traffic Management Research and Development,,,,,,,,,TA15.1 Additional Subtopics; A20.01,Topic E2 Aeronautics Research Mission Directorate Select Subtopics; E2.01,,,,,,,,
Airborne Measurement Systems,,,,,,,TA8.1 Science Instruments; S1.07,TA8.1 Science Instruments; S1.07,TA8.1 Science Instruments; S1.07, Detectors and Instruments; S1.08,,,,,,,,
Aircraft Aging and Durability,,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.03,,
Aircraft Control and Dynamics,,,,,,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.07,,
 and Scaled Model Test,,,,,Focus Area 18 Air Vehicle Technology; T15.01,,,,,,,,,,,,,
Aircraft Icing Avoidance and Tolerance,,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.04,,
 Design and Optimization,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.08,Topic A2 Fundamental Aeronautics; A2.08,Topic A2 Fundamental Aeronautics; A2.08,Topic A2 Fundamental Aeronautics; A2.08,Topic A2 Fundamental Aeronautics; A2.09,Topic A2 Fundamental Aeronautics; A2.09,,
Aircraft Systems Noise Prediction and Reduction,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.04,
Airframe Design and Sustainment,,,,,,,,,,,Topic A1 Aviation Safety; A1.04,,,,,,,
Airframe Systems Noise Prediction and Reduction,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.04
 in State-of-the-Art Data Environments,,,,,,,,TA11.4 Information Processing; S5.03,TA11.4 Information Processing; S5.03,Topic S5 Information Technologies; S5.03,Topic S6 Information Technologies; S6.03,,,,,,,
Algorithms for Science Data Processing and Analysis,,,,,,,,,,,,Topic S6 Information Technologies; S6.03,Topic S6 Information Technologies; S6.03,,,,,
Alternative Methods for Ambient Preservation of Human Biological Samples During Extended Spaceflight and Planetary Operations,,,,,,,,,,,Topic X17 Inflight Biological Sample Preservation and Analysis; X17.01,Topic X16 Inflight Biological Sample Preservation and Analysis; X16.01,,,,,,
Alternative Methods for Ambient Preservation of Human Biological Samples during Spaceflight and Lunar Operations,,,,,,,,,,,,,Topic X15 Inflight Biological Sample Preservation and Analysis; X15.01,,,,,
An Automated Tool for Human Factors Evaluations,,,,,,,,,,,,,Topic X13 Space Human Factors and Food Systems; X13.01,,,,,
Antenna Array Transmission Techniques,,,,,,,,,,,,,,,,,Topic O1 Space Communications; O1.05,
Antenna Technology,,,,,,,,,,,Topic O1 Space Communications; O1.01,Topic O1 Space Communications; O1.01,Topic O1 Space Communications; O1.02,Topic O1 Space Communications; O1.02,Topic O1 Space Communications and Navigation; O1.04,,Topic O1 Space Communications; O1.04,
Antenna Technology for Spacecraft and Planetary Surface Vehicles,,,,,,,,,,,,,,,,Topic O1 Space Communications; O1.04,,
Application of Artificial Intelligence for Science Modeling and Instrumentation,Focus Area 13 Information Technologies for Science Data; S17.04,,,,,,,,,,,,,,,,,
Array Technologies for Microwave Remote Sensing,,,,,,,,,TA8.1 Science Instruments; S20.01,,,,,,,,,
Artificial Intelligence (AI)/Machine Learning (ML) for Small Spacecraft Swarm Trajectory Control,,Focus Area 21 Small Spacecraft Technologies; Z8.11,,,,,,,,,,,,,,,,
Assurance of Flight-Critical Systems,,,,,,,,,,Topic A1 Aviation Safety; A1.06,,,,,,,,
Astrobiology,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.05,Topic S4 Exploration of the Solar System; S4.05
Astrobiology and Atmospheric Instruments for Planetary Exploration,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.01,,
Atmosphere Revitalization and Fire Recovery for Future Exploration Missions,,,,,,,,,TA7.4 Advanced Habitat Systems; H3.02,,,,,,,,,
Atomic Interferometry,,, Detectors and Instruments; S1.10, Detectors and Instruments; S1.10, Detectors and Instruments; S1.10, Detectors and Instruments; S1.10,,TA8.3 Sensor Systems; S1.09,TA8.3 Sensor Systems; S1.09,, Detectors and Instruments; S1.10,,,,,,,
Atomic Quantum Sensor and Clocks, and Instruments; S16.08, and Instruments; S1.10,,,,,,,,,,,,,,,,
Augmented Hybrid and Virtual Reality (XR) Technology for Human & Robotics Exploration,,,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.01,,,,,,,,,,,,,
Augmented Reality,,,,,,,TA4.4 Human-Systems Integration; Z5.01,,,,,,,,,,,
 Weather),,,,,,,,,,,,,Topic O2 Space Transportation; O2.01,,,,,
Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data,,,,,,,,,,,,,,Topic O2 Space Transportation; O2.01,Topic O2 Space Transportation; O2.03,Topic O2 Space Transportation; O2.03,,
Automated Collection and Transfer of Range Surveillance/Intrusion Data,,,,,,,,,,,,,,,,,Topic O2 Space Transportaion; O2.03,
Automated On-Line Health Management and Data Analysis,,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.04
Automated Optical Tracking and Identification of 3D Tumbling Objects,,,,,,,,,,,,,,,,,Topic O2 Space Transportaion; O2.01,
Automated Optical Tracking and Identification of Tumbling 3D Objects,,,,,,,,,,,,,,,,Topic O2 Space Transportation; O2.01,,
Automation and Planning,,,,,,,,,,,,,,,,, and Analysis for Science ; S9.01,Topic E3 Advanced Information Systems Technology For Earth Science; E3.01
Automation and Planning for Complex Tasks,,,,,,,,,,,,,,,, and Analysis for Science; S8.01,,
Automation for Vehicle Habitat Operations,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.01,,,,,
Automation for Vehicle and Crew Operations,,,,,,,,,,,,Topic X6 Autonomous Systems and Avionics; X6.01,,,,,,
Automation for Vehicle and Habitat Operations,,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.01,Topic X1 Avionics and Software; X1.01,,,
Autonomous Control Technologies (ACT) for Ground Operations,,,,Focus Area 16 Ground & Launch Processing; H10.02,Focus Area 16 Ground & Launch Processing; H10.02,,,,,,,,,,,,,
Autonomous Medical Care,,,,,,,,,,,,,,,,,Topic X11 Human Systems Research and Technology; X11.03,
Autonomous Medical Operations,,,Focus Area 7 Human Research and Health Maintenance; H12.05,,,,,,,,,,,,,,,
Autonomous Modular Assembly Technology for OSAM,,, and Manufacturing (OSAM); Z3.04,,,,,,,,,,,,,,,
 and Manufacturing (OSAM),, and Manufacturing (OSAM); Z3.04,,,,,,,,,,,,,,,,
Autonomous Multi-Mission Virtual Ground and Spacecraft Operations,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.09,,,
Autonomous Operations Technologies for Ground and Launch Systems,Focus Area 16 Ground & Launch Processing; H10.02,Focus Area 16 Ground & Launch Processing; H10.02,Focus Area 16 Ground & Launch Processing; H10.02,,,,,,,,,,,,,,,
Autonomous Precision Landing and Hazard Detection and Avoidance,,,,,,,,,,,,,,,Topic X2 Sensors for Autonomous Systems; X2.02,,,
Autonomous Rendezvous and Docking Sensors,,,,,,,,,,,,,,,Topic X2 Sensors for Autonomous Systems; X2.01,,,
Autonomous Systems and Operations for the Lunar Orbital Platform-Gateway,,Focus Area 3 Autonomous Systems for Space Exploration; T10.04,Focus Area 3 Autonomous Systems for Space Exploration; T4.04,,,,,,,,,,,,,,,
Autonomy of the National Airspace System (NAS),,,,,,,,TA15.1 Additional Subtopics; A3.02,,,,,,,,,,
Autonomy of the National Airspace Systems (NAS),,,,,,Focus Area 20 Airspace Operations and Safety; A3.02,TA15.1 Additional Subtopics; A3.02,,,,,,,,,,,
Aviation External Hazard Sensor Technologies,,,,,,,,,TA8.3 Sensor Systems; A1.01,Topic A1 Aviation Safety; A1.01,Topic A1 Aviation Safety; A1.01,Topic A1 Aviation Safety; A1.04,Topic A1 Aviation Safety; A1.04,Topic A1 Aviation Safety; A1.04,Topic A1 Aviation Safety; A1.03,Topic A1 Aviation Safety; A1.06,,
Aviation Safety and Security,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.02,
 Icing and Propulsion-Safe and Secure CNS Aircraft Systems,,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.02
Aviation Security Technologies,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.04,
Avionics Health State Assessment and Management,,,,,,,,,,,Topic A1 Aviation Safety; A1.07,,,,,,,
Avionics and Electronics,,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.01,Topic S3 Spacecraft and Platform SubSystems; S3.01,,,
 Terrestrial and Planetary,,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.05,,,,
Batteries for Oxygen Concentrators,,,,,,,,,,,,Topic X12 Exploration Medical Capability; X12.04,,,,,,
Behavioral Assessment Tools,,,,,,,,,,,,,,Topic X11 Behavioral Health and Performance; X11.01,,,,
Behavioral Health Monitoring Tools,,,,,,,,,,,,Topic X13 Behavioral Health and Performance; X13.01,Topic X12 Behavioral Health and Performance; X12.02,,,,,
Behavioral Health and Performance,,,,,,,,,,,,,,,,,Topic X13 Human Systems Integration; X13.02,
Behavioral Health and Performance - Innovative Technologies for A Virtual Social Support System for Autonomous Exploration Missions,,,,,,,,,,Topic H12 Human Research and Health Maintenance; H12.03,,,,,,,,
 Energy and Storage Technologies for Air and Space,,,,, Energy and Storage; T3.03,,,,,,,,,,,,,
Biological Instrumentation,,,,,,,,,,,,,,,,,,Topic B2 Fundamental Space Biology; B2.02
Biomass Production for Planetary Missions,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.07
 Unobtrusive Medical Devices for Future Flight Crews,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.05
Bioregenerative Technologies for Life Support,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.02,,,,,,,,,,
Bioscience and Engineering,,,,,,,,,,,,,,,,,,Topic B1 Cross-Disciplinary Physical Sciences; B1.04
Bridging the Gap of Applying Machine Learning to Earth Science,,,,Focus Area 13 Information Technologies for Science Data; S5.03,,,,,,,,,,,,,,
Challenges in Carbon Dioxide Removal and Reduction: Carbon Particulate and Thermal Management,Focus Area 6 Life Support and Habitation Systems; H3.08,,,,,,,,,,,,,,,,,
Charged Particle Spectroscopy,,,,,,,,,,,,,,,Topic X14 Space Radiation; X14.02,,,
Chemical Propulsion Components,,,,,,,,,,,,,,,,,Topic X7 High Energy Space Systems (HESS); X7.02,
Chemical Propulsion Systems and Modeling,,,,,,,,,,,,,,,,,Topic X7 High Energy Space Systems (HESS); X7.01,
Chemical Propulsion Systems for Small Satellite Missions,,,,Focus Area 21 Small Spacecraft Technologies; Z8.01,,,,,,,,,,,,,,
Chemical and Propellantless Propulsion for Deep Space,,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.04,,
CoNNeCT Experiments,,,,,,,,,,Topic H9 Space Communications and Navigation; H9.03,Topic O1 Space Communications; O1.06,,,,,,,
 and Compression,,,,,,,,,,,,,Topic O1 Space Communications; O1.01,Topic O1 Space Communications; O1.01,Topic O1 Space Communications and Navigation; O1.01,Topic O1 Space Communications; O1.01,Topic O1 Space Communications; O1.01,
Cognitive Communication,Focus Area 5 Communications and Navigation; H9.07,Focus Area 5 Communications and Navigation; H9.07,Focus Area 5 Communications and Navigation; H9.07,Focus Area 5 Communications and Navigation; H9.07,,,,,,,,,,,,,,
