Focus Area Code,Subtopic code,Subtopic name
Topic S4,S4.01; S4.02; S4.03; S4.04; S4.05; S4.06; S4.07; S4.08; S4.09,"NanoSat Launch Vehicle Technologies; Secondary and Tertiary Launch Technologies; Low-Cost, Rapid Spacecraft Design and Multi-Subsystem Functionality; Project Management, Systems Engineering and Mission Assurance Tools; Smart, Autonomous Command and Data Handling System, Algorithms and Data Management; Advanced Avionics; Mini-Micro Thrusters, LOX / Hydrocarbon Propulsion, and Attitude Control Systems; Low-cost Assembly, Integration, and Testing; Autonomous Multi-Mission Virtual Ground and Spacecraft Operations"
Topic S5,S5.01; S5.02; S5.03; S5.04; S5.05,"Extreme Environments Technology; Planetary Entry, Descent and Landing Technology; Sample Collection, Processing, and Handling Devices; Surface and Subsurface Robotic Exploration; Planetary Balloons and Aerobots"
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05; S6.06,"Modeling, Simulation and Analysis Technologies; Technologies for Large-Scale Numerical Simulation; On-Board Data Processing and Control; Data Analyzing and Processing Algorithms; Data Management - Storage, Mining and Visualization; Spatial and Visual Methods for Search, Analysis and Display of Science Data"
Topic X1,X1.01; X1.02; X1.03; X1.04,Automation for Vehicle and Habitat Operations; Reliable Software for Exploration Systems; Radiation Hardened/Tolerant and Low temperature Electronics and Processors; Integrated System Health Management
Topic X2,X2.01; X2.02,Autonomous Rendezvous and Docking Sensors; Autonomous Precision Landing and Hazard Detection and Avoidance
Topic X3,X3.01; X3.02; X3.03; X3.04,Spacecraft Cabin Atmospheric Resource Management and Particulate Matter Removal; Water Processing and Waste Management Systems; Spacecraft Cabin Environmental Monitoring and Control; Spacecraft Fire Protection
Topic X4,X4.01; X4.02; X4.03,"Space Suit Pressure Garment and Airlock Technologies; Space Suit Life Support Systems; Space Suit Displays, Cameras, Controls, and Integrated Systems"
Topic X5,X5.01; X5.02; X5.03,Oxygen Production from Lunar Regolith; Lunar Regolith Excavation and Material Handling; Lunar Volatile Resource Prospecting and Collection
Topic X6,X6.01; X6.02; X6.03; X6.04,Lightweight Structures; Low Temperature Mechanisms; Advanced Radiation Shielding Materials; Advanced Composite Materials
Topic X7,X7.01; X7.02; X7.03; X7.04,Supportability; Human Systems Interaction; Surface Mobility and Transportation; Surface System Dust Mitigation
Topic X8,X8.01; X8.02; X8.03,Fuel Cells for Surface Systems; Advanced Space Rated Batteries; Nuclear Surface Power
Topic X9,X9.01; X9.02; X9.03; X9.04,Cryogenic Propellant Storage and Distribution for Space Exploration Applications; Cryogenic Propellant Mass Gauging and Liquid Acquisition for Low Gravity Applications; Cryogenic and Non-Toxic Storable Propellant Space Engines; Launch Vehicle Propulsion and Pyrotechnic Technologies
Topic X10,X10.01,"Detachable, Human-rated, Ablative Environmentally Compliant TPS"
Topic X11,X11.01,Thermal Control for Surface Systems and Spacecraft
Topic X12,X12.01; X12.02; X12.03,Health Preservation in the Space Environment; Crew Exercise Systems; Exploration Medical Capability
Topic X13,X13.01; X13.02,Space Human Factors Assessment Tools; Advanced Food Technologies
Topic X14,X14.01; X14.02; X14.03,Small Personal Dosimetry; Charged Particle Spectroscopy; Neutron Spectroscopy
