Company Name,Experience With SBIR Program
Access Sensor Technologies LLC,14
Access Tech,1
"Access To Recreation, Inc.",1
Access/Abilities,1
AccessData Corporation,2
"ACCESSIBLE DESIGNS, INC.",5
"Accessible Designs-Adjustable Systems, Inc.",2
Accessible Designs/Adjustable,6
ACCESSWORKS CORPORATION,1
Accident Prevention Group,5
"Accio Energy, Inc.",1
Accion Systems Inc,2
"Accipiter Systems, Inc",8
"ACCIUM BIOSCIENCES, INC.",1
ACCLAIM BIOTECHNOLOGY,1
"Acclima, Inc.",4
"ACCORD BIOMATERIALS, INC.",2
"ACCORD SOLUTIONS, INC",10
"ACCOUNTABILITY SOLUTIONS, INC.",2
"Accsys Technology, Inc.",19
"Acctek Associates, Inc.",6
"ACCU MEASUREMENT AND TESTING, INC.",1
"Accu-sort Systems, Inc.",1
"Accu-weather, Inc.",1
"AccuBreath, Inc.",1
Accudava,1
"ACCUDYNE SYSTEMS, INC.",12
"ACCUER, INC.",1
ACCUGENOMICS,1
Accuhealth Technologies,1
"ACCULASER, INC.",1
"ACCUMED SYSTEMS, INC.",3
"Accumetrics Assoc., Inc.",1
AccuPS LLC,1
ACCURATE ASSESSMENTS,1
ACCURATE AUTOMATION CORPORATION,138
Accurate Environmental LLC,1
ACCURATE SOLUTIONS IN APPLIED PHYSICS LL,2
Accuray Incorporated,3
ACCURE HEALTH INC,1
"Accure Medical, LLC",1
Accuronix Therapeutics Inc,2
"AccuShoot, Inc.",1
"Accusol, Inc.",1
"Accustrata, Inc.",14
Accuwave Corp.,21
ACE Running LLC,2
"ACEA Biosciences, Inc.",1
Acel Inc,1
"Acelerox, LLC",1
"ACELL, INC.",13
"ACELLENT TECHNOLOGIES, INC",69
"Acelot, Inc.",7
ACENT LABORATORIES LLC,11
"Acenta Discovery, Inc.",7
ACENTECH INCORPORATED,22
"ACENTECH, INC.",3
"Acenxion Biosystems, Inc.",1
"AcePre, LLC",4
"ACERA BIOSCIENCES, INC.",5
"ACES QC, LC",3
Aces Research LLC,1
"Aceso Plasma, LLC",2
"Acetaminophen Toxicity Diagnostics, LLC",3
"ACETYLON PHARMACEUTICALS, INC.",1
"ACG, LLC",2
ACHERX LLC,1
"ACHEVE TECHNOLOGY, INC.",1
"ACHIEVE LIFE SCIENCES, INC.",1
"Achillea Research, Inc.",1
"Achilles Heel Technologies, Inc",3
"Achillion Pharmaceuticals, Inc.",2
ACHRONIX SEMICONDUCTOR LLC,1
Aci Technologies Inc,4
"ACIONT, INC.",7
Ackrad Laboratories Inc,1
"ACLARA BIOSCIENCES, INC.",1
"ACLARIS MEDICAL, LLC",2
Aclarity LLC,2
"ACME ATRONOMATIC, LLC",1
"Acme Express, Inc.",8
ACME GENERAL CORP,1
Acom Microwave,1
"Acomhal Research, Inc.",2
"Acorda Therapeutics, Inc.",12
Acorn Nmr,1
"Acorn Science &amp; Innovation, Inc.",4
Acoustech Corporation,6
"Acoustic Biosystems, Inc.",3
Acoustic Cytometry Systems,1
Acoustic Emission Technology,1
"ACOUSTIC IDEAS, INC.",9
"ACOUSTIC MEDSYSTEMS, INC.",17
"Acoustic Range Estimates, LLC",1
"ACOUSTIC STRATEGIES, INC.",1
ACOUSTIC THERAPEUTICS,1
Acoustical Research &amp; Applicat,3
AcoustiComm,1
ACOUSTX CORPORATION,1
"ACP SEMICONDUCTOR, INC.",1
ACPHARIS,8
ACREE TECHNOLOGIES INCORPORATED,52
"Acrigen Biosciences, Inc.",3
"Acrion Technologies, Inc.",6
"Acroamatics, Inc.",1
ACROMETRIX CORPORATION,1
Acrow Corporation Of America ,1
"ACRYMED, INC.",9
"ACSILABS, INC.",1
Acsiom Labs Inc.,1
"Acsist Associates, Inc.",1
Act Inc,1
ACT Research Corporation,8
"ACTA SBIR Holdings, LLC",1
ACTA Technology,2
"ACTA, LLC",48
"ACTALITY, INC.",5
Actasys Inc.,2
"ACTIBIOMOTION, LLC",1
ACTIMATOR LLC,1
"Actinic, Inc.",2
"Actinium Pharmaceuticals, Inc.",1
ACTINIX,4
"Actinobac Biomed, Inc.",2
Action Management Corpon,1
"Activ Sitting, Inc.",2
Activ Surgical Inc,1
"Activas Diagnostics, LLC",2
"Activated Cell Therapy, Inc.",1
"Activated Research Company, LLC ",3
"ACTIVATOR METHODS INTERNATIONAL, LTD",1
"Activator Methods, Inc.",1
Active Artz,1
"Active Control eXperts, Inc.",25
"Active Decision Support, Ltd.",1
"Active Devices, Inc.",1
Active E-o Systems Inc,1
ACTIVE ENERGY SYSTEMS INC,4
"Active Impulse Sys, Inc.",2
Active Joint Venture,1
"Active Layer Parametrics, Inc.",3
"Active Life Scientific, Inc.",2
"Active Motif, Inc.",21
Active Optoelectronics,1
"Active Parallel Instrumentation, Inc",2
"ACTIVE SHOCK, INC.",5
"Active Signal Technologies, Inc.",38
"Active Spectrum, Inc.",17
Active Technologies Inc.,2
Active Therapy Systems LLC,2
"ACTIVE WAVE, INC.",1
"ACTIVE4D, INC.",1
Actively Learn Inc.,2
ACTIVEMEMS LLC,1
ACTIVESITE BIOTECH,4
"ActiveSite Pharmaceuticals, Inc.",3
Activity Research Services,4
Activity Rhythm Solutions Corporation,1
"Activsignal, LLC.",2
ACTIVX BIOSCIENCES,4
Acton Associates,1
Acton Research Corp.,2
Actoprobe LLC,6
"ACTORIUS PHARMACEUTICALS, LLC",1
Actovos LLC,2
Actran Systems Inc,1
"ACTUALITY SYSTEMS, INC.",1
Actualize Therapy LLC,1
Actuarial Forecasting And,2
Actuarial Research Corporation,6
"ACTUATED MEDICAL, INC.",44
"ACUCELA, INC.",2
AcuDisplay,1
Acuitus Inc. ,1
Acuity Imaging Inc,10
"ACUITY TECHNOLOGIES, INC.",12
ACUITYBIO CORPORATION,1
Aculight Corporation,144
"ACULUS, LLC",1
ACUMEN CONSULTING,4
Acumen Engineering And,2
"Acumen Pharmaceuticals, Inc ",4
"Acumen, LLC",11
"Acumentrics Rups, LLC",1
"ACURA PHARMACEUTICALS, INC.",1
AcuraStem Inc.,4
AcureX Therapeutics Corporation,1
"ACUSOFT, INC.",7
ACXEND,1
Ad Harmony,2
Ad Inter,1
"Ada Digital Systems, Inc",2
Ada Software Engineering Tools,1
"ADA TECHNOLOGIES, INC.",272
"Ada Technology Group, Inc.",1
"ADA-ES, Inc.",2
"ADAM AEROSPACE CO., LLC",1
"ADAM INSTRUMENT CO., INC.",4
Adam Spence Corpon,1
"Adamas Nanotechnologies, Inc.",5
"AdamLab, LLC",1
Adams Consulting Services,1
ADAP Nanotech LLC,1
"adapt laser systems, LLC",1
"Adaptech, Inc.",1
ADAPTELLIGENCE LLC,1
Adaptive 3D Technologies LLC,3
ADAPTIVE AEROSPACE GROUP INC,2
ADAPTIVE BIOTECHNOLOGIES CORPORATION,7
Adaptive Cognitive Systems,8
Adaptive Communications Research Inc.,2
Adaptive Computation LLC,2
"Adaptive Computer Systems,",2
Adaptive Corporation,1
ADAPTIVE DIGITAL TECHNOLOGIES,1
"ADAPTIVE DYNAMICS, INC.",18
ADAPTIVE ENERGY LLC,5
"Adaptive Equipment, Inc.",1
"Adaptive Health, Inc.",1
Adaptive Intelligence Corporation,1
ADAPTIVE INTELLIGENT SYSTEMS,6
Adaptive Machine Technologies,3
"ADAPTIVE MATERIALS, INC.",9
"ADAPTIVE METHODS, INC.",94
Adaptive Micro-Ware Inc.,1
Adaptive Network Solutions,1
"ADAPTIVE PHAGE THERAPEUTICS, INC.",1
Adaptive Process Technologies,1
"Adaptive Radio Technologies, LLC",1
Adaptive Research Corp.,2
"Adaptive Robotics, Inc.",2
Adaptive Sensors Inc.,16
"ADAPTIVE SENSORY TECHNOLOGY, LLC",1
"Adaptive Software, Inc.",1
Adaptive Solutions Inc.,4
"Adaptive Surface Technologies, Inc.",2
"Adaptive Systems, LLC",2
"Adaptive Technologies, Inc.",33
"Adaptive Technology Consulting, LLC",2
Adaptive Technology Solutions,1
"Adaptive Technology, Inc.",6
"Adaptive Testing Technologies, Inc.",2
"ADAPTIVE THERAPEUTICS, INC.",1
"ADAPTIVEPHARMA, LLC",1
"Adaptronics, Inc.",2
"Adaptrum, Inc.",2
"ADARZA BIOSYSTEMS, INC.",5
"ADAS, LLC",2
Adastra Labs LLC,1
"Adastral , LLC",3
ADC Acquisition Co. dba Automated Dynamics,28
"ADCOM SYSTEMS TECHNOLOGY,INC.",8
"Add-vision, Inc.",5
"Addax, Inc.",1
"ADDIGURU, LLC",3
"Additive Engineering Solutions, LLC",2
Additive Manufacturing Innovations LLC,4
Additive Monitoring Systems LLC,1
Addmaster Corp.,2
"AdductNE, LLC",1
ADDX CORPORATION,2
Ade Corp.,2
ADECTO PHARMACEUTICALS INC,3
"ADELOS, INC",2
ADELPHI TECHNOLOGY INC,114
"Adelphi Technology, LLC",1
Adelsys Inc,1
ADENOPAINT LLC,1
"ADENOSINE THERAPEUTICS, LLC",33
"Adept Analytics, LLC",1
Adept Ic Design,1
"Adept Systems, Inc.",5
"Adeptas, Inc.",3
Adeptdc Co.,1
"ADEPTECH SYSTEMS, INC.",1
"ADEPTHERA, LLC",8
ADEPTRIX CORP.,4
ADESTO TECHNOLOGIES,2
Adeza Biomedical Corpon,4
Adgero Biopharmaceuticals Holdings Inc,1
"Adhaere Pharmaceuticals, Inc.",1
ADHERELY LLC,1
Adherence Technologies Corp.,6
"Adherent Technologies, Inc.",91
"Adi - Displays Consulting, LLC",1
ADIABATICS INCORPORATED,32
"ADIABATICS, INC.",2
Adian Engineering Corp.,7
"ADIANT TECHNOLOGY, INC.",1
"Adicep Technologies, Inc.",3
Adient Medical Inc.,2
Adinstruments,1
"ADIPO THERAPEUTICS, LLC",1
"ADIPOGENIX, INC.",8
Adirondack Analytics,2
"Adjoint Technologies, LLC",1
ADJUVANCE TECHNOLOGIES INC.,5
"ADK Group, LLC",1
"Adler Consultants, Inc.",8
"Adlumin, Inc.",1
"ADLYFE, INC.",6
"Adm Diagnostics, Inc.",4
"ADMUNEX THERAPEUTICS, INC.",1
"ADNOVIV, INC.",3
ADOLF MELLER COMPANY,2
ADOLOR CORPORATION,5
"ADOPTECH, INC.",3
Adranos Energetics LLC,1
Adranos Inc,3
Adrenaline Mobility,1
"ADRENALINE RESEARCH, INC.",1
Adroit Materials,24
"Adroit Systems, Inc.",49
"ADS Technoogies, Inc.",1
"AdSem, Inc.",2
"Adsys Controls, Inc.",15
"ADT Pharmaceuticals, LLC",4
"ADTECH NEPTH, INC.",1
AdTech Optics Inc.,2
"Adtech Photonics, Inc.",9
ADTECH SYSTEMS RESEARCH INC,19
Adults Health &amp; Dev Programs,1
ADURO BIOTECH,3
Adv Countermeasure Sys,7
Adv Materials Innovations,1
Adv Process Combinat,3
Adv. Engineering And Research,2
"ADVA-TEC, INC.",1
ADVAC LLC,2
Advac Therapeutic LLC,1
Advaita Corporation,7
"Advalue Photonics, Inc.",65
ADVALUE TECHNOLOGY LLC,2
"ADVANCE MATERIALS PRODUCTS, INC",4
Advance Ratio Design Co Inc,1
"Advance, Inc.",2
Advanced &amp; Innovative Multifunctional Materials LLC,2
"Advanced Acoustic Concepts, Inc.",31
Advanced Aircraft Company LLC,1
"Advanced Algorithms &amp; Systems, LLC",1
Advanced Allergy Res Ctrs Inc,1
"Advanced Analytical Technologies, Inc.",1
"Advanced Analyzer Labs, Inc. ",2
"Advanced Animal Diagnostics, Inc.",1
ADVANCED ANTI-TERROR TECHNOLOGIES CORP,15
Advanced Applications,6
Advanced Applied Technology,1
Advanced Avionics Incorporated,8
Advanced Bioconversion Technologies,2
"ADVANCED BIODEVICES, LLC",2
ADVANCED BIOENGINEERING TECHNOLOGIES,1
"ADVANCED BIOLOGICAL MARKETING, INC.",4
ADVANCED BIOLOGICAL TECHNOLOGIES,1
ADVANCED BIOMEDICAL ASSAYS,1
"ADVANCED BIOMEDICAL INFORMATICS GROUP, L.L.C.",3
ADVANCED BIOMEDICAL MACHINES INC.,2
Advanced Biomedical Monitoring,3
ADVANCED BIONICS CORPORATION,8
ADVANCED BIOSENSORS INC,1
"Advanced Biotechnology, Inc.",1
"ADVANCED BIOTHERAPIES, INC.",1
Advanced Blood Component,1
"ADVANCED BRAIN MONITORING, INC.",43
"ADVANCED BREATH DIAGNOSTICS, LLC",2
Advanced Cae Technology Inc.,3
"ADVANCED CANCER THERAPEUTICS,  LLC",1
"ADVANCED CELL DIAGNOSTICS, INC.",6
"ADVANCED CERAMETRICS, INC.",16
"ADVANCED CERAMIC FIBERS, L.L.C.",8
Advanced Ceramic Research,1
Advanced Ceramics Corp.,2
"ADVANCED CERAMICS MANUFACTURING, LLC",31
"ADVANCED CHEMICAL SYSTEMS, INC.",2
"Advanced Chemotherapy Technologies, Inc.",3
"ADVANCED CIRCULATORY SYSTEMS, INC.",18
Advanced Clinical Products Inc,1
"Advanced Cmp Products, Inc.",4
Advanced Coatings International,1
"ADVANCED COCHLEAR SYSTEMS, INC.",11
Advanced Coherent Technologies LLC,13
Advanced Communication,8
Advanced Communications Tech,2
"ADVANCED COMPONENTS &amp; MATERIALS, INC.",4
Advanced Composite Engineering,2
"Advanced Composite Materials, LLC",1
Advanced Composite Operations,1
Advanced Composite Products,20
Advanced Composite Technology,5
Advanced Composites Labs,2
"ADVANCED COMPUTATIONAL TECHNOLOGY, LLC",5
Advanced Computer,2
Advanced Computer Support,1
"Advanced Concepts, Inc.",1
ADVANCED CONDUCTOR TECHNOLOGIES LLC,31
Advanced Connection Technology,1
Advanced Control Technologies,2
"Advanced Cooling Technologies, Inc.",204
ADVANCED COOLING THERAPY INC,2
"ADVANCED COORDINATION TECHNOLOGIES, LLC.",2
"ADVANCED CORE TECHNOLOGIES, LLC",2
"Advanced Creations, Inc.",3
Advanced Creative Educational,1
Advanced Crystal Products,2
Advanced Cytometry Instrumentation Systems LLC,7
"ADVANCED DATA SYSTEMS, INC.",1
Advanced Decision Systems,54
"Advanced Design Consulting USA, Inc.",11
Advanced Detectors Inc,9
"Advanced Development Group,",1
"Advanced Device Technologies,",3
"ADVANCED DEVICE TECHNOLOGY, INC.",13
"ADVANCED DIAGNOSTICS, LLC",1
"ADVANCED DIAMOND SOLUTIONS, INC.",1
"Advanced Diamond TechNologies, Inc.",25
"Advanced Digital Imaging Research, LLC",17
"ADVANCED DIGITAL SYSTEMS, INC.",9
Advanced Dimensional Displays,1
"Advanced Distributed Sensor Systems, Inc",1
Advanced Diversified Tech Inc,3
"Advanced Dynamics, Inc.",19
ADVANCED ELECTROMAGNETICS,6
"Advanced Encapsulation, Inc",2
"ADVANCED ENERGY CONVERSION, LLC",5
Advanced Energy Dynamics Inc.,7
"Advanced Energy Materials, LLC",10
"Advanced Energy Systems, Inc",55
"Advanced Energy Technology,",4
Advanced Engineered,1
Advanced Engineering ,5
"Advanced Engineering Research, LLC",3
Advanced Engineering Solutions,4
Advanced Engines Development Corporation,9
Advanced Environmental,1
Advanced Environmental Researc,1
ADVANCED EXTRAVASCULAR SYSTEMS,3
"ADVANCED FIBER SENSORS, INC.",6
Advanced Fiberoptics Corp.,2
"Advanced Fibers &amp; Powders, LLC",5
Advanced Flex Sensor Research,1
"ADVANCED FLUIDICS, LLC",7
Advanced Flying Automobile Inc,1
"Advanced Fuel Research, Inc.",256
Advanced Genetic,1
"ADVANCED GENETIC SYSTEMS, INC.",7
Advanced Genetics Research,1
"Advanced Genome Technologies, Llc",1
"ADVANCED GENOMIC TECHNOLOGY, LLC",4
"Advanced Geophysical Technology, Inc.",3
"ADVANCED GLOBAL SERVICES, LTD",17
Advanced Haemotechnologies,2
"ADVANCED HEARING CONCEPTS, INC.",3
"ADVANCED HEARING PRODUCTS, INC.",1
Advanced Heat Treat Corp.,2
Advanced Hydrogen Technologies Corporation,3
Advanced Image Measurement Sys,1
"ADVANCED IMAGING RESEARCH, INC.",20
"ADVANCED IMMUNE THERAPEUTICS, INC.",1
Advanced Immunotherapeutics,2
ADVANCED INDUSTRIAL TECHNOLGY,1
"ADVANCED INFONEERING, INC.",6
ADVANCED INTEGRATED SYSTEMS,2
Advanced Laser Systems Technol,1
"Advanced Life Sciences, Inc.",2
"Advanced Life Technologies, LLC",12
Advanced Liquid Crystal Technologies,3
ADVANCED LIQUID LOGIC,28
Advanced Maerials Technolo,1
"Advanced Magnet Lab, Inc.",16
"Advanced Magnetic and Cryogenic, LLC",2
"ADVANCED MAGNETICS, INC.",8
Advanced Management Research,2
Advanced Manufacturing LLC,2
"Advanced Marine Enterprises,",6
Advanced Material Systems,6
ADVANCED MATERIALS AND DEVICES,21
ADVANCED MATERIALS AND MANUFACTURING TECHNOLOGIES,1
Advanced Materials and Processes,8
ADVANCED MATERIALS APPLICATIONS,1
Advanced Materials Corp,19
Advanced Materials Design Inc,3
Advanced Materials Laboratory,2
"Advanced Materials Manufacturing, LLC",2
ADVANCED MATERIALS RESEARCH &amp; DEVELOPMENT CORP.,1
Advanced Materials Scientia LLC,1
"ADVANCED MATERIALS TECHNOLOGY, INC.",21
"ADVANCED MECHANICAL SYSTEMS TECHNOLOGY,",2
"Advanced Mechanical Technology, Inc.",38
"ADVANCED MECHANICS TECHNOLOGY, LTD.",3
ADVANCED MEDIA RESEARCH INC,4
"Advanced Medical Devices, Inc.",2
ADVANCED MEDICAL ELECTRONICS CORPORATION,148
Advanced Medical Research Corp,1
"ADVANCED MEMBRANE SYSTEMS, INC.",4
Advanced Metal Products Inc.,2
"Advanced Metals Systems, Inc.",3
Advanced Metalworking Practice,1
Advanced Methods &amp; Materials (AMM),4
ADVANCED MICROBIAL SOLUTIONS CORPORATION,4
ADVANCED MICROCAVITY SENSORS LLC,1
"ADVANCED MICROLABS, LLC",10
"ADVANCED MICROMACHINES, INC.",9
Advanced Microscopy Techniques,4
Advanced MicroSensors Corporation,1
Advanced Microsphere Products,2
Advanced Mineral Technologies,2
ADVANCED MODULAR POWER SYSTEMS,19
"Advanced Molecular Systems,",1
